sub,mean_pupil_physical_effect,mean_behavioral_physical_effect
13,-68.94365001083402,-144.97254732020122
16,-39.62714488105799,-4.734947135379002
17,-60.279871707219996,33.61024396841026
18,-65.2149905854435,75.13995657529165
19,-166.988172435263,-97.60523168312
21,-175.70467597062353,255.77807308686545
23,-116.08506809761752,-45.966260766012056
24,-37.87128531958547,-19.0641285007506
25,-98.661965321174,33.16060305504732
26,-39.48233842763648,-45.697165385007
27,-301.41529695903097,-11.306758343874094
29,-39.05449814139257,162.42797810835157
31,-81.08527334241245,96.07449415403369
33,-97.1612181412685,-52.1092359754108
34,-201.3884558638735,106.62397429865382
35,93.73835227140749,-183.84132202367505
36,-303.880570050189,34.68974421790983
37,-175.63425556910602,18.52115378014912
42,-29.329685780226512,202.1557315414559
43,-121.35423795623893,87.46453318055433
44,7.99746223743999,-96.7797788409606
46,-20.179695229424013,-104.5707300758769
48,-50.514103631881994,109.84068734888172
54,-38.70623667558601,135.51036361002434
56,-62.63740408104749,99.13138750059534
58,3.031735894240512,-66.92751085735381
61,64.528182817594,190.49788175655215
64,-117.66056433527098,-21.585301754552916
65,-114.379189279761,-80.05962789515775
68,-129.80835191308847,-112.06741296390851
69,-119.54409882968551,-74.9448773167727
71,-59.364678885377515,86.40921555306943
72,-47.46473720781749,-58.885367706816055
74,-32.397581682253076,157.55076336040975
82,-137.0846709042485,-93.15301444869851
83,-145.6466821953485,-194.93430164053166
85,-263.69360778252457,-8.492771073999052
87,96.48325450517098,76.51870673566987
88,-601.265384810624,51.68229674396821
