task,auc_measure,behavioral_measure,effort_type,r,ci_lower,ci_upper,p,n
CDT,Total AUC,Accuracy,Physical,-0.08891429511212914,-0.3933950509121853,0.23314335419508112,0.5903894832933064,39
CDT,Total AUC,Accuracy,Cognitive,NA,NA,NA,NA,NA
ADT,Total AUC,Accuracy,Physical,-0.064210511157496,-0.3721872310029528,0.25650316884493113,0.6977576642884045,39
ADT,Total AUC,Accuracy,Cognitive,0.1887167614472755,-0.13482842677506582,0.47589729079891624,0.24991071867049164,39
VDT,Total AUC,Accuracy,Physical,-0.15873134514390522,-0.4591360649207539,0.17424965004255566,0.3480627853189494,37
VDT,Total AUC,Accuracy,Cognitive,0.07472995461268182,-0.255475092332866,0.38932193496335493,0.6602425353446546,37
CDT,Total AUC,Correct RT,Physical,-0.004301769845472749,-0.3193853251734166,0.31163826227305746,0.9792648514952904,39
CDT,Total AUC,Correct RT,Cognitive,NA,NA,NA,NA,NA
ADT,Total AUC,Correct RT,Physical,-0.07298005430595994,-0.37975274727390207,0.24825339157932697,0.6588354958080526,39
ADT,Total AUC,Correct RT,Cognitive,0.25171602134095666,-0.08899580207747357,0.5396913680901274,0.14464897356357018,35
VDT,Total AUC,Correct RT,Physical,-0.07569901361861663,-0.39014847607089986,0.2545639012303639,0.6561066525221977,37
VDT,Total AUC,Correct RT,Cognitive,0.03842923675132242,-0.2891907010882765,0.35799060079418743,0.8213444443362157,37
ADT,Cognitive AUC,Accuracy,Physical,-0.06844306652202592,-0.3758437882043954,0.2525273002394157,0.6788694417974017,39
ADT,Cognitive AUC,Accuracy,Cognitive,0.12925496552611646,-0.1941812121317667,0.4273440110533226,0.43290364638292533,39
VDT,Cognitive AUC,Accuracy,Physical,-0.08197467063330019,-0.39548894266214396,0.24864876870803343,0.6295706222181571,37
VDT,Cognitive AUC,Accuracy,Cognitive,-0.07215351653036786,-0.3871219424875137,0.25789482725716006,0.6712867229325095,37
ADT,Cognitive AUC,Correct RT,Physical,-0.12055540893427802,-0.42009325246448215,0.20267068531309987,0.46475102975601545,39
ADT,Cognitive AUC,Correct RT,Cognitive,0.2824614095551671,-0.05606223313306545,0.5627378413784989,0.10016614624076642,35
VDT,Cognitive AUC,Correct RT,Physical,-0.06316128656085121,-0.3794153701608444,0.26630781678444576,0.7103547084938013,37
VDT,Cognitive AUC,Correct RT,Cognitive,0.02640661851795901,-0.30018079450631935,0.34745271992484983,0.8767117203750754,37
