sub,mean_pupil_physical_effect,mean_behavioral_physical_effect
13,6.814110433779295,-0.03790782860550301
16,-77.1494035767765,-0.022674187959454625
17,-18.352420318260997,-0.05666666666666664
18,0.22499940042584754,0.03666666666666679
19,-43.611411217336,0.047038861521620096
21,-93.55701777231864,-0.03187214611872148
23,-47.6572392903325,-0.040000000000000036
24,29.43750481651285,-0.04666666666666669
25,1.8458280132346943,-0.036666666666666604
26,-23.182872973719995,0.022369691119691157
27,-64.26043229107499,-0.04792792792792794
29,12.813998277635989,-0.03009376723662438
31,28.722308285962995,-0.03980963840552881
33,-29.88942827725451,0.03367346938775506
34,-10.402236912120493,0.0063063063063062835
35,-28.840722527442203,0.08531822454547545
36,8.625282786670603,-0.05666666666666667
37,41.08575281649151,0.09999999999999998
42,8.296809851761196,-0.06333333333333335
43,-17.326122424791492,0.02999999999999997
44,-3.957444476251503,0.023333333333333345
46,-119.82487933511601,-0.06178571428571425
48,-9.364881367748495,-0.04000000000000001
54,-14.831492858251845,-0.046666666666666634
56,4.000012510049096,0.0733333333333333
58,7.251410691894009,-0.1233333333333334
61,22.068384745413255,-0.07047229931133725
64,-44.83375799615999,-0.041904761904761875
65,10.484330530609505,-0.043333333333333335
68,-48.611194116908,-0.043333333333333404
69,-69.5985990846865,-0.031204407294832773
72,-6.161292630400503,0.09333333333333338
74,-84.38105501046202,0.05594594594594593
82,-53.38645572350249,0.03000000000000002
85,-69.23498420996401,-0.0559360730593608
87,13.877555228151493,-0.06676043390329109
88,-103.59768813526199,0.08333333333333329
