sub,effort,pupil_cognitive_effect,behavioral_cognitive_effect
13,High,14.819508215670808,-0.8858333333333333
13,Low,8.236728791021903,-0.8650340136054422
16,High,10.426082245268987,-0.6462585034013605
16,Low,-16.465943815054004,-0.6291891891891893
17,High,-2.884233679400012,-0.9866666666666667
17,Low,-5.182541322432996,-0.94
18,High,-1.9438133531750026,-0.9199999999999999
18,Low,6.227350588364402,-0.8847214561500276
19,High,-0.6755614907040126,-0.9866666666666667
19,Low,5.466020558086001,-0.9324324324324325
21,High,0.32177459639599704,-0.92
21,Low,15.587679707090984,-0.9178082191780821
23,High,33.352707571785004,-0.8800000000000001
23,Low,-4.550789451080021,-0.76
24,High,18.19979386542491,-0.7080272108843538
24,Low,1.7818093006080034,-0.6333333333333334
25,High,7.2082923812250215,-0.849874196253844
25,Low,-48.35200865099799,-0.9647473560517039
26,High,33.53867866916801,-0.7238888888888888
26,Low,22.238164105192,-0.7316666666666668
27,High,-6.624280162644027,-0.8124324324324326
27,Low,-2.164531887529961,-0.8712079426365141
29,High,-24.944867233997,-0.7733333333333333
29,Low,53.037929731511014,-0.78
31,High,24.3963861422301,-0.9130434782608695
31,Low,-43.944351846747,-0.9591836734693878
33,High,5.848454659268498,-0.8466666666666667
33,Low,14.301363362221608,-0.9
34,High,-25.131400717188,-0.59013698630137
34,Low,-34.328847515247986,-0.6199999999999999
35,High,-1.059292864809393,-0.82
35,Low,-10.22147407912199,-0.7333333333333333
36,High,-4.532794250662988,-0.9533333333333334
36,Low,-65.82189919727901,-0.92
37,High,25.294626998646976,-0.7618243243243242
37,Low,-44.005974874271004,-0.6533333333333333
42,High,8.605636027631896,-0.92
42,Low,23.376568476969,-0.8400000000000001
43,High,14.253028999028004,-0.9133333333333333
43,Low,-17.68048398980102,-0.9525648097076669
44,High,18.469453684188693,-0.32404853833425257
44,Low,10.798203936866003,-0.38299086757990847
46,High,46.098845145176995,-0.9239864864864865
46,Low,-45.573982074079964,-0.8864864864864865
48,High,7.085547780558002,-0.8075892857142858
48,Low,-10.414673130018997,-0.8865079365079365
54,High,-6.845001544775201,-0.9066666666666667
54,Low,-8.1406039975964,-0.9666666666666667
56,High,10.901964000252306,-0.43333333333333335
56,Low,-0.37634621365999976,-0.43999999999999995
58,High,-20.911245218590977,-0.8514285714285714
58,Low,-49.603650287737025,-0.8263013698630136
61,High,-12.972901181997997,-0.8266666666666667
61,Low,14.087561440919004,-0.7533333333333333
64,High,-25.267754672335002,-0.8133333333333332
64,Low,28.232398776778012,-0.818918918918919
65,High,-14.638498667407006,-0.7733333333333332
65,Low,6.8818809042919895,-0.7779591836734694
68,High,-13.474668587140002,-0.86
68,Low,9.253415228574,-0.9199999999999999
69,High,-15.40715122076898,-0.7849462365591399
69,Low,-11.523141187584997,-0.8692307692307693
71,High,5.39939858667401,-0.7466666666666667
71,Low,-17.60067873968501,-0.7733333333333332
72,High,-20.6352171929136,-0.5524324324324325
72,Low,12.138438553477997,-0.6266666666666667
74,High,0.34602761105600166,-0.6835585585585586
74,Low,-45.27230650443897,-0.7866666666666666
82,High,28.827851967372993,-0.932972972972973
82,Low,11.041432886150005,-0.8600000000000001
83,High,2.499217808154995,-0.8
83,Low,-59.18061299137699,-0.8400000000000001
85,High,-42.66946797742304,-0.9625943719972546
85,Low,-71.27810025811903,-0.9488636363636364
87,High,16.680574319661957,-0.9325170068027212
87,Low,34.282815433997996,-0.9666666666666667
88,High,2.1630642212220437,-0.8866666666666666
88,Low,-3.223908284082995,-0.92
