sub,effort,pupil_cognitive_effect,behavioral_cognitive_effect
13,High,14.819508215670808,379.58916030252374
13,Low,8.236728791021903,333.44222639855826
16,High,10.426082245268987,1288.5863371508701
16,Low,-16.465943815054004,98.91649481027798
17,Low,-5.182541322432996,744.2332541666019
18,High,-1.9438133531750026,216.92512362804132
18,Low,6.227350588364402,924.4043652494881
23,High,33.352707571785004,487.0797533534155
23,Low,-4.550789451080021,509.0494542757598
24,High,18.19979386542491,412.6409155928046
24,Low,1.7818093006080034,351.8200862310724
25,High,7.2082923812250215,465.79559264864656
25,Low,-48.35200865099799,-23.678426027189516
26,High,33.53867866916801,701.3894590178759
26,Low,22.238164105192,1159.994973672407
27,High,-6.624280162644027,200.3048565219733
27,Low,-2.164531887529961,113.10461304323769
29,High,-24.944867233997,661.8719258675362
29,Low,53.037929731511014,625.7737986153288
31,High,24.3963861422301,423.41285035904485
31,Low,-43.944351846747,653.3713063502252
33,High,5.848454659268498,950.5483876031653
33,Low,14.301363362221608,1026.7418066687728
34,High,-25.131400717188,347.26123260359464
34,Low,-34.328847515247986,1750.6807895782308
35,High,-1.059292864809393,-275.9319619194323
35,Low,-10.22147407912199,2.349113828727468
36,High,-4.532794250662988,-145.10378496456667
37,High,25.294626998646976,138.93808249722596
37,Low,-44.005974874271004,645.8330144536578
42,High,8.605636027631896,927.7862023880394
42,Low,23.376568476969,168.84593901709502
43,High,14.253028999028004,857.0382956315631
43,Low,-17.68048398980102,428.64977057777446
44,High,18.469453684188693,78.97959631884953
44,Low,10.798203936866003,193.36215807256417
46,High,46.098845145176995,1200.4908118503313
46,Low,-45.573982074079964,294.89241510929463
48,High,7.085547780558002,553.1621491538964
48,Low,-10.414673130018997,799.08408597383
54,High,-6.845001544775201,-267.59304647812706
54,Low,-8.1406039975964,-10.958795939144238
56,High,10.901964000252306,124.56741570428551
56,Low,-0.37634621365999976,170.30913899175061
58,High,-20.911245218590977,274.8764298873949
58,Low,-49.603650287737025,417.6895499937625
61,High,-12.972901181997997,439.9458969355136
61,Low,14.087561440919004,440.8830795371497
64,High,-25.267754672335002,553.8557629568378
64,Low,28.232398776778012,673.710276002256
65,High,-14.638498667407006,208.58327106917778
65,Low,6.8818809042919895,270.50293302780835
68,High,-13.474668587140002,488.7126970553405
68,Low,9.253415228574,-160.50665000036827
69,High,-15.40715122076898,-83.18534650057381
69,Low,-11.523141187584997,-93.47657461573067
72,High,-20.6352171929136,214.38432955357115
72,Low,12.138438553477997,215.18511396158738
74,High,0.34602761105600166,312.2391548522777
74,Low,-45.27230650443897,788.1849686228259
82,High,28.827851967372993,907.5771444250779
82,Low,11.041432886150005,28.24138254737079
85,High,-42.66946797742304,20.87692618293721
85,Low,-71.27810025811903,328.076307901938
87,High,16.680574319661957,160.33625825824961
87,Low,34.282815433997996,1963.8443257175134
88,High,2.1630642212220437,621.6261561836718
88,Low,-3.223908284082995,10.373658306586265
