sub,difficulty,pupil_physical_effect,behavioral_physical_effect
13,Easy,2.7322251157658,18.504841117082336
13,Hard,9.315004540414705,64.6517750210478
16,Easy,-37.773173252368,-135.06140898842966
16,Hard,-10.881147192045006,1054.6084333521626
17,Easy,-16.009690442675975,8.390874437054663
18,Easy,-2.136057355591099,-119.63192503790765
18,Hard,-10.307221297130504,-827.1111666593545
19,Easy,-82.337446934432,55.41007678604308
21,Easy,-39.40346108914001,239.09385407633556
23,Easy,-60.87647892941101,-68.14495737834307
23,Hard,-22.972981906545982,-90.11465830068732
24,Easy,-25.0012299464218,7.716404116227665
24,Hard,-8.583245381604897,68.53723347795983
25,Easy,-52.439489140315004,28.112931325878208
25,Hard,3.120811891908005,517.5869500017143
26,Easy,-50.685261465047006,-33.46306874343986
26,Hard,-39.384746901071,-492.068583397971
27,Easy,-45.077000635944955,-12.774710144884125
27,Hard,-49.53674891105902,74.42553333385149
29,Easy,47.11871795452902,14.904139407750279
29,Hard,-30.864079010978998,51.00226665995763
31,Easy,-48.040797606389106,47.70863097993998
31,Hard,20.29994038258799,-182.24982501124032
33,Easy,-12.565937441796194,17.43303905991064
33,Hard,-21.018846144749304,-58.76038000569679
34,Easy,-25.506006073971975,45.13990697692407
34,Hard,-16.30855927591199,-1358.279649997712
35,Easy,-19.748249244224397,-32.36192431439531
35,Hard,-10.5860680299118,-310.6430000625551
36,Easy,-62.10255897690601,99.99237913434365
37,Easy,-48.64085732214599,-86.35867917782977
37,Hard,20.65974455077199,-593.2536111342617
42,Easy,1.2656648215463022,29.077011571886715
42,Hard,-13.5052676277908,788.0172749428311
43,Easy,8.722509772955988,65.63607484854322
43,Hard,40.65602276178501,494.02459990233183
44,Easy,-24.433869295965692,43.645361750364486
44,Hard,-16.762619548643002,-70.73720000335015
46,Easy,-124.99036962351497,64.2826498999604
46,Hard,-33.317542404258006,969.881046640997
48,Easy,-57.799641253928996,-227.26226318380952
48,Hard,-40.299420343352,-473.1842000037432
54,Easy,11.989675906788207,139.1082505226139
54,Hard,13.285278359609407,-117.52600001636893
56,Easy,-33.7337103979757,-39.911992108405
56,Hard,-22.455400184063393,-85.65371539587011
58,Easy,0.7819348677409721,-25.741525735379582
58,Hard,29.47433993688702,-168.55464584174717
61,Easy,26.689287884825006,-81.95996742075545
61,Hard,-0.3711747380919945,-82.89715002239154
64,Easy,-17.538017346299995,-45.41512696117246
64,Hard,-71.03817079541301,-165.26964000659063
65,Easy,26.418001691781,-8.906105545362529
65,Hard,4.897622120082005,-70.82576750399312
68,Easy,8.058937157456,-151.5947870554503
68,Hard,-14.669146658258,497.6245600002585
69,Easy,-6.203559744554013,19.509957585020743
69,Hard,-10.087569777737997,29.801185700177598
71,Easy,-22.529829767345007,-17.11690048899345
72,Easy,-13.206675179589197,-81.8316454577718
72,Hard,-45.980330925980795,-82.63242986578803
74,Easy,-108.21658515638998,-92.13569956770846
74,Hard,-62.59825104089501,-568.0815133382566
82,Easy,-55.98552585326101,12.586971480710872
82,Hard,-38.19910677203802,891.922733358418
83,Easy,-93.106911441068,59.69495714216191
85,Easy,-34.064808612730985,13.394981584169102
85,Hard,-5.456176332035,-293.80440013483167
87,Easy,-66.38883078613298,26.607317456440057
87,Hard,-83.99107190046902,-1776.9007500028238
88,Easy,-185.874611019584,200.33010223871287
88,Hard,-180.48763851427896,811.5826001157984
