sub,effort,pupil_cognitive_effect,behavioral_cognitive_effect
13,High,33.85118397219398,-0.8858333333333333
13,Low,-56.35802447535701,-0.8650340136054422
16,High,3.9634141908350102,-0.6462585034013605
16,Low,-40.384554360210984,-0.6291891891891893
17,High,1.3228368168949487,-0.9866666666666667
17,Low,-15.322351738023997,-0.94
18,High,-10.41166069265671,-0.9199999999999999
18,Low,-9.547566845418004,-0.8847214561500276
19,High,-68.57561978872502,-0.9866666666666667
19,Low,59.19801519659495,-0.9324324324324325
21,High,-48.657263434141015,-0.92
21,Low,44.16775113607599,-0.9178082191780821
23,High,41.002099205065974,-0.8800000000000001
23,Low,-77.45456368112701,-0.76
24,High,-45.11678313978702,-0.7080272108843538
24,Low,10.925345995773995,-0.6333333333333334
25,High,18.140911948680014,-0.849874196253844
25,Low,-116.97848634931299,-0.9647473560517039
26,High,25.38810026855799,-0.7238888888888888
26,Low,29.085704560319073,-0.7316666666666668
27,High,-62.520681406589006,-0.8124324324324326
27,Low,32.04827779336097,-0.8712079426365141
29,High,86.380553682705,-0.7733333333333333
29,Low,101.865401515715,-0.78
31,High,48.39641218375502,-0.9130434782608695
31,Low,-88.09577457433798,-0.9591836734693878
33,High,30.478624229630014,-0.8466666666666667
33,Low,41.41502399628402,-0.9
34,High,-21.853677324072976,-0.59013698630137
34,Low,-52.48481908480403,-0.6199999999999999
35,High,41.44302698971899,-0.82
35,Low,-66.626301215681,-0.7333333333333333
36,High,-61.55749161184002,-0.9533333333333334
36,Low,-81.94347063476289,-0.92
37,High,23.51691174834599,-0.7618243243243242
37,Low,-103.45870245084899,-0.6533333333333333
42,High,4.374684049443999,-0.92
42,Low,17.957287088011,-0.8400000000000001
43,High,-39.79885251773999,-0.9133333333333333
43,Low,-24.60563723478799,-0.9525648097076669
44,High,60.34081051599,-0.32404853833425257
44,Low,20.70303866113801,-0.38299086757990847
46,High,15.911586361877028,-0.9239864864864865
46,Low,-159.06320870313402,-0.8864864864864865
48,High,62.714834055751965,-0.8075892857142858
48,Low,-31.61871751563899,-0.8865079365079365
54,High,-46.08265292660201,-0.9066666666666667
54,Low,12.025240846799989,-0.9666666666666667
56,High,2.726054546568008,-0.43333333333333335
56,Low,20.667559297254996,-0.43999999999999995
58,High,-42.53633984022099,-0.8514285714285714
58,Low,-44.647131691476034,-0.8263013698630136
61,High,-50.21459816937903,-0.8266666666666667
61,Low,12.159521774623016,-0.7533333333333333
64,High,-39.428109469291996,-0.8133333333333332
64,Low,-42.073746679682984,-0.818918918918919
65,High,-69.14602210345203,-0.7733333333333332
65,Low,5.495186875665979,-0.7779591836734694
68,High,-14.257480237837001,-0.86
68,Low,59.98811268725902,-0.9199999999999999
69,High,29.281821317498043,-0.7849462365591399
69,Low,7.033930343628015,-0.8692307692307693
71,High,-40.52158052160701,-0.7466666666666667
71,Low,12.33074200118898,-0.7733333333333332
72,High,-53.272452957388,-0.5524324324324325
72,Low,8.19992900545202,-0.6266666666666667
74,High,3.0874075599529647,-0.6835585585585586
74,Low,10.04511666284202,-0.7866666666666666
82,High,84.16508493313,-0.932972972972973
82,Low,5.868159574811955,-0.8600000000000001
83,High,7.583735866338031,-0.8
83,Low,-89.95205553942196,-0.8400000000000001
85,High,-77.72909261473603,-0.9625943719972546
85,Low,-134.45235552946895,-0.9488636363636364
87,High,0.03867568889501172,-0.9325170068027212
87,Low,120.745623888002,-0.9666666666666667
88,High,-35.42400376432204,-0.8866666666666666
88,Low,0.4784798168780071,-0.92
