sub,difficulty,pupil_physical_effect,behavioral_physical_effect
13,Easy,-39.32382297976599,-0.040000000000000036
13,Hard,50.885385467785,-0.06079931972789118
16,Easy,-169.538036178695,-0.022522522522522626
16,Hard,-125.190067627649,-0.03959183673469385
17,Easy,-30.25625010113299,0.026666666666666727
17,Hard,-13.611061546214046,-0.019999999999999993
18,Easy,-10.645885205135201,0.014054054054054022
18,Hard,-11.509979052373907,-0.0212244897959184
19,Easy,-174.03467937763304,0.054234234234234235
19,Hard,-301.808314362953,0
21,Easy,-14.583244888492004,0.0021917808219179546
21,Hard,-107.40825945870901,0
23,Easy,-77.363900545695,0
23,Hard,41.092762340497984,-0.12
24,Easy,-21.245494682323,0
24,Hard,-77.28762381788401,-0.07469387755102042
25,Easy,5.4515587132460155,-0.05497963717141807
25,Hard,140.57095701123902,0.059893522626441875
26,Easy,-75.081817358085,-0.0277777777777779
26,Hard,-78.77942164984609,-0.01999999999999999
27,Easy,-51.48267139606003,0
27,Hard,-146.05163059601,0.05877551020408157
29,Easy,46.605016971395,-0.06666666666666665
29,Hard,31.120169138384995,-0.060000000000000026
31,Easy,-132.700072371198,0
31,Hard,3.7921143868950082,0.04614019520851825
33,Easy,-53.361784487302,-0.053333333333333344
33,Hard,-64.29818425395601,-4.163336342344337e-17
34,Easy,-98.30667782570805,-0.009863013698629963
34,Hard,-67.675536064977,0.019999999999999987
35,Easy,-94.79868602756099,0.06666666666666665
35,Hard,13.270642177838994,-0.019999999999999993
36,Easy,-108.81489670281394,0.053333333333333344
36,Hard,-88.42891767989107,0.01999999999999999
37,Easy,-165.74459925683198,-0.009009009009009028
37,Hard,-38.768985057636996,-0.1175
42,Easy,-11.203207797562996,0
42,Hard,-24.785810836129997,-0.07999999999999996
43,Easy,-9.258430886455983,-0.03963963963963968
43,Hard,-24.45164616940798,-4.081632653061239e-4
44,Easy,-86.012321284786,-0.059792669381710295
44,Hard,-46.37454942993401,-8.503401360544227e-4
46,Easy,-209.60930472025603,0
46,Hard,-34.63450965524498,-0.03749999999999999
48,Easy,-139.10933585504097,-0.014632936507936511
48,Hard,-44.77578428365001,0.06428571428571425
54,Easy,29.617702621397,-0.040000000000000036
54,Hard,-28.490191152004996,0.019999999999999987
56,Easy,-20.581579918166995,-0.026666666666666616
56,Hard,-38.52308466885398,-0.020000000000000018
58,Easy,-67.68436007886703,-0.014872798434442225
58,Hard,-65.57356822761199,-0.040000000000000036
61,Easy,40.595482108355014,0.013333333333333308
61,Hard,-21.778637835647032,-0.060000000000000026
64,Easy,-93.61790221586,-0.025585585585585657
64,Hard,-90.97226500546901,-0.01999999999999999
65,Easy,87.128692727958,0.05333333333333323
65,Hard,12.487483748839992,0.05795918367346936
68,Easy,-9.47340564855699,0
68,Hard,-83.71899857365301,0.05999999999999999
69,Easy,-11.819069317773028,-0.017617866004962734
69,Hard,10.428821656097,0.06666666666666665
71,Easy,-32.128132424651994,-0.026666666666666505
71,Hard,-84.98045494744798,0
72,Easy,-16.446230081918998,-0.054234234234234235
72,Hard,-77.91861204475902,0.019999999999999962
74,Easy,-39.79776543301398,-0.014774774774774735
74,Hard,-46.75547453590303,0.08833333333333335
82,Easy,-94.54812117275503,0.05297297297297299
82,Hard,-16.251195814436983,-0.019999999999999983
83,Easy,-76.78752006012098,-0.040000000000000036
83,Hard,20.74827134563901,0
85,Easy,-224.2547355266389,0.014173998044965774
85,Hard,-167.531472611906,4.432624113475392e-4
87,Easy,4.971388952514019,-0.013333333333333308
87,Hard,-115.73555924659297,0.02081632653061224
88,Easy,-183.98844207172897,-0.053333333333333344
88,Hard,-219.890925652929,-0.019999999999999987
