sub,effort,pupil_cognitive_effect,behavioral_cognitive_effect
13,High,33.85118397219398,379.58916030252374
13,Low,-56.35802447535701,333.44222639855826
16,High,3.9634141908350102,1288.5863371508701
16,Low,-40.384554360210984,98.91649481027798
17,Low,-15.322351738023997,744.2332541666019
18,High,-10.41166069265671,216.92512362804132
18,Low,-9.547566845418004,924.4043652494881
23,High,41.002099205065974,487.0797533534155
23,Low,-77.45456368112701,509.0494542757598
24,High,-45.11678313978702,412.6409155928046
24,Low,10.925345995773995,351.8200862310724
25,High,18.140911948680014,465.79559264864656
25,Low,-116.97848634931299,-23.678426027189516
26,High,25.38810026855799,701.3894590178759
26,Low,29.085704560319073,1159.994973672407
27,High,-62.520681406589006,200.3048565219733
27,Low,32.04827779336097,113.10461304323769
29,High,86.380553682705,661.8719258675362
29,Low,101.865401515715,625.7737986153288
31,High,48.39641218375502,423.41285035904485
31,Low,-88.09577457433798,653.3713063502252
33,High,30.478624229630014,950.5483876031653
33,Low,41.41502399628402,1026.7418066687728
34,High,-21.853677324072976,347.26123260359464
34,Low,-52.48481908480403,1750.6807895782308
35,High,41.44302698971899,-275.9319619194323
35,Low,-66.626301215681,2.349113828727468
36,High,-61.55749161184002,-145.10378496456667
37,High,23.51691174834599,138.93808249722596
37,Low,-103.45870245084899,645.8330144536578
42,High,4.374684049443999,927.7862023880394
42,Low,17.957287088011,168.84593901709502
43,High,-39.79885251773999,857.0382956315631
43,Low,-24.60563723478799,428.64977057777446
44,High,60.34081051599,78.97959631884953
44,Low,20.70303866113801,193.36215807256417
46,High,15.911586361877028,1200.4908118503313
46,Low,-159.06320870313402,294.89241510929463
48,High,62.714834055751965,553.1621491538964
48,Low,-31.61871751563899,799.08408597383
54,High,-46.08265292660201,-267.59304647812706
54,Low,12.025240846799989,-10.958795939144238
56,High,2.726054546568008,124.56741570428551
56,Low,20.667559297254996,170.30913899175061
58,High,-42.53633984022099,274.8764298873949
58,Low,-44.647131691476034,417.6895499937625
61,High,-50.21459816937903,439.9458969355136
61,Low,12.159521774623016,440.8830795371497
64,High,-39.428109469291996,553.8557629568378
64,Low,-42.073746679682984,673.710276002256
65,High,-69.14602210345203,208.58327106917778
65,Low,5.495186875665979,270.50293302780835
68,High,-14.257480237837001,488.7126970553405
68,Low,59.98811268725902,-160.50665000036827
69,High,29.281821317498043,-83.18534650057381
69,Low,7.033930343628015,-93.47657461573067
72,High,-53.272452957388,214.38432955357115
72,Low,8.19992900545202,215.18511396158738
74,High,3.0874075599529647,312.2391548522777
74,Low,10.04511666284202,788.1849686228259
82,High,84.16508493313,907.5771444250779
82,Low,5.868159574811955,28.24138254737079
85,High,-77.72909261473603,20.87692618293721
85,Low,-134.45235552946895,328.076307901938
87,High,0.03867568889501172,160.33625825824961
87,Low,120.745623888002,1963.8443257175134
88,High,-35.42400376432204,621.6261561836718
88,Low,0.4784798168780071,10.373658306586265
