sub,difficulty,pupil_physical_effect,behavioral_physical_effect
13,Easy,-39.32382297976599,18.504841117082336
13,Hard,50.885385467785,64.6517750210478
16,Easy,-169.538036178695,-135.06140898842966
16,Hard,-125.190067627649,1054.6084333521626
17,Easy,-30.25625010113299,8.390874437054663
18,Easy,-10.645885205135201,-119.63192503790765
18,Hard,-11.509979052373907,-827.1111666593545
19,Easy,-174.03467937763304,55.41007678604308
21,Easy,-14.583244888492004,239.09385407633556
23,Easy,-77.363900545695,-68.14495737834307
23,Hard,41.092762340497984,-90.11465830068732
24,Easy,-21.245494682323,7.716404116227665
24,Hard,-77.28762381788401,68.53723347795983
25,Easy,5.4515587132460155,28.112931325878208
25,Hard,140.57095701123902,517.5869500017143
26,Easy,-75.081817358085,-33.46306874343986
26,Hard,-78.77942164984609,-492.068583397971
27,Easy,-51.48267139606003,-12.774710144884125
27,Hard,-146.05163059601,74.42553333385149
29,Easy,46.605016971395,14.904139407750279
29,Hard,31.120169138384995,51.00226665995763
31,Easy,-132.700072371198,47.70863097993998
31,Hard,3.7921143868950082,-182.24982501124032
33,Easy,-53.361784487302,17.43303905991064
33,Hard,-64.29818425395601,-58.76038000569679
34,Easy,-98.30667782570805,45.13990697692407
34,Hard,-67.675536064977,-1358.279649997712
35,Easy,-94.79868602756099,-32.36192431439531
35,Hard,13.270642177838994,-310.6430000625551
36,Easy,-108.81489670281394,99.99237913434365
37,Easy,-165.74459925683198,-86.35867917782977
37,Hard,-38.768985057636996,-593.2536111342617
42,Easy,-11.203207797562996,29.077011571886715
42,Hard,-24.785810836129997,788.0172749428311
43,Easy,-9.258430886455983,65.63607484854322
43,Hard,-24.45164616940798,494.02459990233183
44,Easy,-86.012321284786,43.645361750364486
44,Hard,-46.37454942993401,-70.73720000335015
46,Easy,-209.60930472025603,64.2826498999604
46,Hard,-34.63450965524498,969.881046640997
48,Easy,-139.10933585504097,-227.26226318380952
48,Hard,-44.77578428365001,-473.1842000037432
54,Easy,29.617702621397,139.1082505226139
54,Hard,-28.490191152004996,-117.52600001636893
56,Easy,-20.581579918166995,-39.911992108405
56,Hard,-38.52308466885398,-85.65371539587011
58,Easy,-67.68436007886703,-25.741525735379582
58,Hard,-65.57356822761199,-168.55464584174717
61,Easy,40.595482108355014,-81.95996742075545
61,Hard,-21.778637835647032,-82.89715002239154
64,Easy,-93.61790221586,-45.41512696117246
64,Hard,-90.97226500546901,-165.26964000659063
65,Easy,87.128692727958,-8.906105545362529
65,Hard,12.487483748839992,-70.82576750399312
68,Easy,-9.47340564855699,-151.5947870554503
68,Hard,-83.71899857365301,497.6245600002585
69,Easy,-11.819069317773028,19.509957585020743
69,Hard,10.428821656097,29.801185700177598
71,Easy,-32.128132424651994,-17.11690048899345
72,Easy,-16.446230081918998,-81.8316454577718
72,Hard,-77.91861204475902,-82.63242986578803
74,Easy,-39.79776543301398,-92.13569956770846
74,Hard,-46.75547453590303,-568.0815133382566
82,Easy,-94.54812117275503,12.586971480710872
82,Hard,-16.251195814436983,891.922733358418
83,Easy,-76.78752006012098,59.69495714216191
85,Easy,-224.2547355266389,13.394981584169102
85,Hard,-167.531472611906,-293.80440013483167
87,Easy,4.971388952514019,26.607317456440057
87,Hard,-115.73555924659297,-1776.9007500028238
88,Easy,-183.98844207172897,200.33010223871287
88,Hard,-219.890925652929,811.5826001157984
