sub,difficulty,pupil_physical_effect,behavioral_physical_effect
13,Easy,-45.92944107395601,-0.17243335224049916
13,Hard,-91.95785894771203,-0.033333333333333215
16,Easy,-55.746104324865996,0.10818713450292394
16,Hard,-23.508185437249978,-0.08333333333333337
17,Easy,-23.380344374229992,0.05555555555555547
17,Hard,-97.17939904021,-0.13412698412698418
18,Easy,-52.46506763716499,-0.017045454545454586
18,Hard,-77.96491353372201,-0.289210233592881
19,Easy,-216.27836868839597,-0.0883190883190883
19,Hard,-117.69797618213005,-0.11746031746031743
21,Easy,-258.193571801248,-0.03629629629629627
21,Hard,-93.21578013999903,-0.06050420168067226
23,Easy,-120.42214938739903,0.03703703703703698
23,Hard,-111.74798680783601,-0.09285714285714286
24,Easy,16.020847194627038,-0.03703703703703709
24,Hard,-91.76341783379797,-0.16666666666666669
25,Easy,84.71114578660001,0.21763602251407133
25,Hard,-282.035076428948,0.1626409017713365
26,Easy,-99.34170789428697,-0.06692307692307686
26,Hard,20.377031039014014,-0.027777777777777735
27,Easy,-349.6611486955819,0.02991452991453003
27,Hard,-253.16944522248002,0.09126984126984122
29,Easy,-57.76635508696506,-0.09259259259259256
29,Hard,-20.34264119582008,-0.18235294117647055
31,Easy,-34.89209200259495,0.0625231224565298
31,Hard,-127.27845468222995,-0.20588235294117646
33,Easy,-36.936020813948005,-0.0398322851153039
33,Hard,-157.386415468589,-0.04365079365079366
34,Easy,-274.26703170940095,0.10631349782293176
34,Hard,-128.50988001834605,-0.07063492063492072
35,Easy,162.477379629706,0.029951690821255927
35,Hard,24.99932491310898,0.0672268907563025
36,Easy,-306.4598511644481,0.04192872117400426
36,Hard,-301.30128893592996,-0.003968253968253982
37,Easy,-287.843577414253,0.05166666666666664
37,Hard,-63.42493372395904,-0.1160919540229885
42,Easy,-53.43712986462802,0.03703703703703709
42,Hard,-5.222241695825005,-0.027777777777777762
43,Easy,-111.78115659406592,-0.05415793151642201
43,Hard,-130.92731931841195,-0.05555555555555547
44,Easy,-18.919389307171002,-0.05882352941176461
44,Hard,34.91431378205098,-0.022281639928698804
46,Easy,14.332707318112966,-0.02271139063591887
46,Hard,-54.69209777696099,0.04248366013071905
48,Easy,-62.81200711602901,-0.05769230769230771
48,Hard,-38.21620014773498,-0.14898989898989895
54,Easy,-60.57377246503603,0
54,Hard,-16.838700886135996,0.03253968253968248
56,Easy,-40.528498609976,-1.1102230246251565e-16
56,Hard,-84.74630955211899,-0.055555555555555594
58,Easy,160.008135207515,0.019230769230769162
58,Hard,-153.944663419034,0.13888888888888884
61,Easy,40.62875296068901,0.040833333333333444
61,Hard,88.42761267449899,0.045454545454545386
64,Easy,-141.43149850822,-0.06209150326797397
64,Hard,-93.88963016232196,-0.11111111111111105
65,Easy,-125.459187353184,0.027007029226785106
65,Hard,-103.29919120633798,-0.027777777777777818
68,Easy,-110.997658099223,-0.04131054131054135
68,Hard,-148.61904572695397,-0.08333333333333343
69,Easy,-140.40106424530194,0.011538461538461497
69,Hard,-98.68713341406908,0.021390374331550832
71,Easy,-147.899645608088,0.002096436058700135
71,Hard,29.170287837332978,2.7755575615628914e-17
72,Easy,-81.88152332734799,-0.02131376659678552
72,Hard,-13.047951088286993,0.03253968253968248
74,Easy,90.07014195629392,-0.06566037735849062
74,Hard,-154.86530532080008,-0.1261904761904763
82,Easy,-79.43641756176197,-0.037735849056603765
82,Hard,-194.73292424673502,-0.08333333333333331
83,Easy,-159.80525490922497,-0.02236198462613559
83,Hard,-131.488109481472,-0.021428571428571408
85,Easy,-219.26634294915016,0.17452830188679247
85,Hard,-308.120872615899,-0.022689075630252076
87,Easy,171.893214460864,-0.021739130434782594
87,Hard,21.073294549477964,-0.07380952380952371
88,Easy,-670.3151879846449,-0.03703703703703709
88,Hard,-532.2155816366031,1.3877787807814457e-17
