sub,difficulty,pupil_physical_effect,behavioral_physical_effect
13,Easy,-45.92944107395601,-160.98991154593227
13,Hard,-91.95785894771203,-128.95518309447016
16,Easy,-55.746104324865996,-7.216938691618452
16,Hard,-23.508185437249978,-2.2529555791395524
17,Easy,-23.380344374229992,117.3168030674965
17,Hard,-97.17939904021,-50.096315130675976
18,Easy,-52.46506763716499,122.24286314977257
18,Hard,-77.96491353372201,28.037050000810723
19,Easy,-216.27836868839597,-11.524188374752839
19,Hard,-117.69797618213005,-183.68627499148715
21,Easy,-258.193571801248,79.37892117506294
21,Hard,-93.21578013999903,432.17722499866795
23,Easy,-120.42214938739903,18.191464585970607
23,Hard,-111.74798680783601,-110.12398611799472
24,Easy,16.020847194627038,-28.963445915384682
24,Hard,-91.76341783379797,-9.164811086116515
25,Easy,84.71114578660001,-135.77358888889853
25,Hard,-282.035076428948,202.09479499899317
26,Easy,-99.34170789428697,10.384158200720776
26,Hard,20.377031039014014,-101.77848897073477
27,Easy,-349.6611486955819,-112.36683094674459
27,Hard,-253.16944522248002,89.7533142589964
29,Easy,-57.76635508696506,87.50892874299984
29,Hard,-20.34264119582008,237.3470274737033
31,Easy,-34.89209200259495,51.91453494891425
31,Hard,-127.27845468222995,140.23445335915312
33,Easy,-36.936020813948005,-151.07984527866302
33,Hard,-157.386415468589,46.86137332784142
34,Easy,-274.26703170940095,21.39514114720805
34,Hard,-128.50988001834605,191.8528074500996
35,Easy,162.477379629706,-99.08823571472772
35,Hard,24.99932491310898,-268.5944083326224
36,Easy,-306.4598511644481,109.36760842917852
36,Hard,-301.30128893592996,-39.98811999335885
37,Easy,-287.843577414253,-111.52963530079069
37,Hard,-63.42493372395904,148.57194286108893
42,Easy,-53.43712986462802,46.53124641682098
42,Hard,-5.222241695825005,357.78021666609084
43,Easy,-111.78115659406592,160.06228332639944
43,Hard,-130.92731931841195,14.866783034709215
44,Easy,-18.919389307171002,43.719472900590745
44,Hard,34.91431378205098,-237.27903058251195
46,Easy,14.332707318112966,-23.956212931215077
46,Hard,-54.69209777696099,-185.1852472205387
48,Easy,-62.81200711602901,-20.37935057077584
48,Hard,-38.21620014773498,240.06072526853927
54,Easy,-60.57377246503603,-31.278139473502733
54,Hard,-16.838700886135996,302.2988666935514
56,Easy,-40.528498609976,27.65669999972738
56,Hard,-84.74630955211899,170.6060750014633
58,Easy,160.008135207515,-53.37998039542276
58,Hard,-153.944663419034,-80.47504131928486
61,Easy,40.62875296068901,-16.071741514994528
61,Hard,88.42761267449899,397.0675050280988
64,Easy,-141.43149850822,-154.45110352869597
64,Hard,-93.88963016232196,111.28050001959014
65,Easy,-125.459187353184,103.46057202063253
65,Hard,-103.29919120633798,-263.579827810948
68,Easy,-110.997658099223,100.9696740729471
68,Hard,-148.61904572695397,-325.1045000007641
69,Easy,-140.40106424530194,3.5063498004421945
69,Hard,-98.68713341406908,-153.3961044339876
71,Easy,-147.899645608088,-7.364502235572672
71,Hard,29.170287837332978,180.18293334171153
72,Easy,-81.88152332734799,21.35209791967759
72,Hard,-13.047951088286993,-139.1228333333097
74,Easy,90.07014195629392,26.578805606169226
74,Hard,-154.86530532080008,288.52272111465027
82,Easy,-79.43641756176197,-38.01605943157233
82,Hard,-194.73292424673502,-148.2899694658247
83,Easy,-159.80525490922497,105.72543279877641
83,Hard,-131.488109481472,-495.5940360798397
85,Easy,-219.26634294915016,93.33323457932329
85,Hard,-308.120872615899,-110.31877672732139
87,Easy,171.893214460864,45.604905053511175
87,Hard,21.073294549477964,107.43250841782856
88,Easy,-670.3151879846449,9.348593402736697
88,Hard,-532.2155816366031,94.01600008519972
