task,auc_measure,behavioral_measure,effort_type,r,ci_lower,ci_upper,p,df,n
CDT,Total AUC,Accuracy,Physical,0.017665853189890737,-0.2954694875493712,0.3273736393545183,0.9138417389927465,38,39
CDT,Total AUC,Accuracy,Cognitive,NA,NA,NA,NA,NA,NA
ADT,Total AUC,Accuracy,Physical,-0.1501111162215264,-0.44099890815887105,0.16931560236118995,0.35520813212743385,38,39
ADT,Total AUC,Accuracy,Cognitive,-0.15011111622152334,-0.4409989081588685,0.16931560236119295,0.3552081321274436,38,39
VDT,Total AUC,Accuracy,Physical,0.2062567255294559,-0.12143357609798845,0.4934064194939247,0.2140928105767516,36,37
VDT,Total AUC,Accuracy,Cognitive,0.20625672552945704,-0.12143357609798726,0.49340641949392566,0.21409281057674892,36,37
CDT,Total AUC,Correct RT,Physical,0.0503129740561338,-0.2653552780551764,0.3562390027533927,0.7578448100474063,38,39
CDT,Total AUC,Correct RT,Cognitive,NA,NA,NA,NA,NA,NA
ADT,Total AUC,Correct RT,Physical,0.1865061466081547,-0.16186860065446834,0.4935440314919147,0.2909075599050736,32,33
ADT,Total AUC,Correct RT,Cognitive,0.1865061466081567,-0.1618686006544664,0.4935440314919162,0.2909075599050685,32,33
VDT,Total AUC,Correct RT,Physical,-0.09019017528226124,-0.3983871144493479,0.23630643740363053,0.5902340592740618,36,37
VDT,Total AUC,Correct RT,Cognitive,-0.09019017528225977,-0.39838711444934677,0.23630643740363183,0.5902340592740679,36,37
ADT,Cognitive AUC,Accuracy,Physical,-0.049914245023878256,-0.3558899487463934,0.26572682497818084,0.7597068795821942,38,39
ADT,Cognitive AUC,Accuracy,Cognitive,-0.04991424502387837,-0.3558899487463934,0.26572682497818084,0.7597068795821937,38,39
VDT,Cognitive AUC,Accuracy,Physical,-0.07306911095643163,-0.3837875802076913,0.2525126824790785,0.6628619453419411,36,37
VDT,Cognitive AUC,Accuracy,Cognitive,-0.07306911095643337,-0.3837875802076928,0.2525126824790768,0.6628619453419335,36,37
ADT,Cognitive AUC,Correct RT,Physical,0.11464591196072531,-0.23253500865719232,0.43591161499744135,0.5185226447370264,32,33
ADT,Cognitive AUC,Correct RT,Cognitive,0.1146459119607287,-0.2325350086571891,0.4359116149974441,0.5185226447370138,32,33
VDT,Cognitive AUC,Correct RT,Physical,-0.10471158000995283,-0.41064865645231663,0.22241708681211128,0.5315467014731794,36,37
VDT,Cognitive AUC,Correct RT,Cognitive,-0.10471158000994898,-0.4106486564523134,0.22241708681211503,0.5315467014731945,36,37
