sub,difficulty,pupil_physical_effect,behavioral_physical_effect
13,Easy,-9.694514670905406,-0.07692307692307687
13,Hard,23.322735538463995,0.0011074197120708451
16,Easy,-92.552615643968,-0.005898021308980206
16,Hard,-61.746191509585,-0.039450354609929045
17,Easy,-3.3497883302709965,-0.01333333333333342
17,Hard,-33.355052306251,-0.09999999999999987
18,Easy,6.659139524004999,-0.10666666666666658
18,Hard,-6.209140723153304,0.18000000000000016
19,Easy,-31.276613397042013,0.18137931034482757
19,Hard,-55.946209037629984,-0.08730158730158738
21,Easy,-103.8525336786705,0.016255707762557026
21,Hard,-83.26150186596679,-0.07999999999999999
23,Easy,-22.516103973176996,0.039999999999999925
23,Hard,-72.798374607488,-0.12
24,Easy,40.197874317442995,-0.01333333333333342
24,Hard,18.677135315582703,-0.07999999999999996
25,Easy,-1.685426777078007,-0.09333333333333323
25,Hard,5.377082803547395,0.020000000000000018
26,Easy,-42.029430947250006,0.08223938223938232
26,Hard,-4.336315000189984,-0.037500000000000006
27,Easy,-73.77222926208,-0.015855855855855916
27,Hard,-54.74863532006998,-0.07999999999999996
29,Easy,-6.454156562920019,-0.012432432432432416
29,Hard,32.082153118192,-0.047755102040816344
31,Easy,37.838936291789,-0.027952610144390988
31,Hard,19.605680280136994,-0.05166666666666664
33,Easy,-35.37488284291001,0.040000000000000036
33,Hard,-24.403973711599008,0.027346938775510088
34,Easy,-17.622900651421006,0.012612612612612595
34,Hard,-3.1815731728199808,-2.7755575615628914e-17
35,Easy,-19.64721465442139,0.10158883004333186
35,Hard,-38.03423040046302,0.06904761904761905
36,Easy,4.706770980532298,-0.053333333333333344
36,Hard,12.543794592808908,-0.06
37,Easy,21.519598356778005,0.040000000000000036
37,Hard,60.65190727620501,0.15999999999999992
42,Easy,14.585099143833801,-0.026666666666666727
42,Hard,2.0085205596885913,-0.09999999999999998
43,Easy,-4.45959543447799,-0.08000000000000007
43,Hard,-30.192649415104995,0.14
44,Easy,12.433397163381997,0.026666666666666727
44,Hard,-20.348286115885003,0.019999999999999962
46,Easy,-103.031293843687,-0.03428571428571425
46,Hard,-136.61846482654502,-0.08928571428571425
48,Easy,-11.500224916465001,0
48,Hard,-7.2295378190319894,-0.08000000000000002
54,Easy,-10.307199334340694,-0.013333333333333308
54,Hard,-19.355786382162997,-0.07999999999999996
56,Easy,6.5438289903991915,0.026666666666666727
56,Hard,1.4561960296990009,0.11999999999999988
58,Easy,29.866772910349,-0.1066666666666668
58,Hard,-15.363951526560982,-0.14
61,Easy,16.112540891344906,-0.013285024154589431
61,Hard,28.024228599481603,-0.12765957446808507
64,Easy,-63.975726756407994,-0.026666666666666616
64,Hard,-25.691789235911983,-0.057142857142857134
65,Easy,3.7419145941800025,0.013333333333333308
65,Hard,17.226746467039007,-0.09999999999999998
68,Easy,-34.711873965338995,-0.06666666666666676
68,Hard,-62.51051426847701,-0.02000000000000004
69,Easy,-74.98239636928199,-0.03714285714285703
69,Hard,-64.21480180009101,-0.025265957446808512
72,Easy,-15.565109782095803,0.026666666666666616
72,Hard,3.242524521294797,0.16000000000000014
74,Easy,-57.07825125738202,-0.028108108108108154
74,Hard,-111.68385876354202,0.14
82,Easy,-29.080219806366983,0
82,Hard,-77.692691640638,0.06000000000000004
85,Easy,-44.23892589757804,-0.051872146118721596
85,Hard,-94.23104252234998,-0.06
87,Easy,-4.541008563931996,0.0142342342342342
87,Hard,32.29611902023498,-0.14775510204081638
88,Easy,-98.018509216979,0.06666666666666676
88,Hard,-109.17686705354498,0.09999999999999981
