sub,difficulty,pupil_physical_effect,behavioral_physical_effect
13,Easy,-9.694514670905406,76.6222075658259
13,Hard,23.322735538463995,-64.75454999986141
16,Easy,-92.552615643968,2.8130651559680473
16,Hard,-61.746191509585,90.4929543096971
17,Easy,-3.3497883302709965,12.767919027691221
17,Hard,-33.355052306251,-42.60338365994352
18,Easy,6.659139524004999,-131.4752032258483
18,Hard,-6.209140723153304,175.29003664596974
19,Easy,-31.276613397042013,-80.22531378145464
19,Hard,-55.946209037629984,139.85051999998177
21,Easy,-103.8525336786705,108.91255563451216
21,Hard,-83.26150186596679,210.73522207904716
23,Easy,-22.516103973176996,31.950471316396147
23,Hard,-72.798374607488,-24.352612413792144
24,Easy,40.197874317442995,37.068227642302645
24,Hard,18.677135315582703,-185.06519920786138
25,Easy,-1.685426777078007,158.66781111496186
25,Hard,5.377082803547395,75.21888823419647
26,Easy,-42.029430947250006,-22.41322341911973
26,Hard,-4.336315000189984,-136.42949333589058
27,Easy,-73.77222926208,61.475626213985606
27,Hard,-54.74863532006998,-127.48996666778112
29,Easy,-6.454156562920019,168.77015652404964
29,Hard,32.082153118192,178.06288049662277
31,Easy,37.838936291789,-15.310543779156092
31,Hard,19.605680280136994,-125.68944598786481
33,Easy,-35.37488284291001,49.72208285669387
33,Hard,-24.403973711599008,27.737746033501878
34,Easy,-17.622900651421006,-22.859921429335373
34,Hard,-3.1815731728199808,130.4243090880018
35,Easy,-19.64721465442139,-72.34668967839127
35,Hard,-38.03423040046302,-423.3913299860433
36,Easy,4.706770980532298,-9.498624863707505
36,Hard,12.543794592808908,333.3826599965015
37,Easy,21.519598356778005,-11.614269843226921
37,Hard,60.65190727620501,148.19616518723663
42,Easy,14.585099143833801,40.61013923815659
42,Hard,2.0085205596885913,184.7651203012416
43,Easy,-4.45959543447799,9.080953119471474
43,Hard,-30.192649415104995,375.87467501659626
44,Easy,12.433397163381997,112.52357009508046
44,Hard,-20.348286115885003,-361.48222333471904
46,Easy,-103.031293843687,62.31305028863551
46,Hard,-136.61846482654502,160.99725557225088
48,Easy,-11.500224916465001,13.690405553562528
48,Hard,-7.2295378190319894,-82.75789996841922
54,Easy,-10.307199334340694,-33.458697856943786
54,Hard,-19.355786382162997,-58.8255651010615
56,Easy,6.5438289903991915,-30.839576722750678
56,Hard,1.4561960296990009,40.750948110954425
58,Easy,29.866772910349,-13.050424870803795
58,Hard,-15.363951526560982,-83.04192444137743
61,Easy,16.112540891344906,78.97404414540668
61,Hard,28.024228599481603,-252.85164000033546
64,Easy,-63.975726756407994,-13.683067041451181
64,Hard,-25.691789235911983,-594.245574278258
65,Easy,3.7419145941800025,11.032176740731845
65,Hard,17.226746467039007,-51.90425959371833
68,Easy,-34.711873965338995,-169.56268788278317
68,Hard,-62.51051426847701,-513.5161583214843
69,Easy,-74.98239636928199,85.65098114549096
69,Hard,-64.21480180009101,-150.89210882369025
72,Easy,-15.565109782095803,66.78347473882923
72,Hard,3.242524521294797,7.002474728273683
74,Easy,-57.07825125738202,-174.99676379026982
74,Hard,-111.68385876354202,-89.53746358773105
82,Easy,-29.080219806366983,-48.04681528670085
82,Hard,-77.692691640638,150.15939750010148
85,Easy,-44.23892589757804,249.43980893660876
85,Hard,-94.23104252234998,242.53335050353934
87,Easy,-4.541008563931996,-19.897808360361978
87,Hard,32.29611902023498,-82.33723906379416
88,Easy,-98.018509216979,34.06512262069782
88,Hard,-109.17686705354498,154.77758975395227
