sub,effort,pupil_cognitive_effect,behavioral_cognitive_effect
13,High,38.7930717312811,-0.7523809523809525
13,Low,-4.221584746085,-0.8304114490161002
16,High,41.57741198807105,-0.4630614657210402
16,Low,-20.675173163520014,-0.42950913242009137
17,High,-9.569662608732017,-0.3999999999999999
17,Low,21.620245778701985,-0.31333333333333346
18,High,9.17915153802629,-0.26000000000000006
18,Low,11.531643058850804,-0.5466666666666669
19,High,-143.575064503602,-0.8844444444444444
19,Low,-4.380576039341008,-0.6157635467980295
21,High,-47.00499036676601,-0.7666666666666666
21,Low,30.307744685143007,-0.6704109589041096
23,High,-37.45943610206001,-0.38
23,Low,0.45605907057097284,-0.22000000000000008
24,High,-69.20991036930201,-0.30666666666666664
24,Low,20.134481237699987,-0.2400000000000001
25,High,46.263084899520976,0.3133333333333333
25,Low,80.280717594844,0.20000000000000007
26,High,-7.369787483995992,-0.7089285714285715
26,Low,-41.526526903383,-0.5891891891891892
27,High,-44.718642503165995,-0.7708108108108107
27,Low,33.435394770203004,-0.7066666666666667
29,High,51.087964452422,-0.5800000000000001
29,Low,21.724169922835983,-0.5446773303916161
31,High,40.030481749172,-0.6915068493150685
31,Low,52.50160870013599,-0.6677927927927928
33,High,68.862397612969,-0.2733333333333333
33,Low,-24.487012081106002,-0.26068027210884337
34,High,16.03746349817999,-0.725945945945946
34,Low,25.240122012823974,-0.7133333333333334
35,High,42.511071262428004,-0.8212508884150675
35,Low,143.303038552779,-0.7887096774193548
36,High,54.22019137644202,-0.7466666666666666
36,Low,42.81556148920896,-0.74
37,High,104.03987552272898,-0.45999999999999996
37,Low,-35.12054128186395,-0.5799999999999998
42,High,25.258308204504004,-0.6533333333333332
42,Low,-29.658325877110997,-0.58
43,High,49.99243366698198,-0.6733333333333333
43,Low,-47.37411559605698,-0.8933333333333334
44,High,23.87197940871698,-0.7733333333333334
44,Low,59.838200793959004,-0.7666666666666666
46,High,74.67464911752802,-0.5942857142857143
46,Low,70.97711781159097,-0.5392857142857144
48,High,65.62798463250402,-0.84
48,Low,-15.205788054309977,-0.76
54,High,-14.387908185257189,-0.64
54,Low,-8.051580128038992,-0.5733333333333334
56,High,43.652232970916,-0.30666666666666675
56,Low,0.7832984414570205,-0.3999999999999999
58,High,-25.976215192191944,-0.3933333333333332
58,Low,73.05657838798004,-0.36
61,High,0.5396033493300081,-0.8871158392434988
61,Low,6.515565234818993,-0.7727412889300032
64,High,75.07527623339001,-0.7238095238095238
64,Low,-225.6796265932751,-0.6933333333333334
65,High,-53.92235561300899,-0.5599999999999999
65,Low,70.70407225796902,-0.44666666666666666
68,High,-0.2528758263329962,-0.6733333333333333
68,Low,1.00366507993499,-0.7200000000000001
69,High,51.427489510538976,-0.4553571428571429
69,Low,42.07243572801701,-0.46723404255319145
72,High,-24.427808800638985,-0.1266666666666666
72,Low,8.781113397360969,-0.2600000000000001
74,High,-125.391285863561,-0.5118918918918919
74,Low,-7.2715624616280365,-0.68
82,High,14.717746386826974,-0.7999999999999999
82,Low,46.62973475974002,-0.86
85,High,36.90349514668003,-0.4333333333333332
85,Low,26.656813552109952,-0.4252054794520548
87,High,-16.547141366864025,-0.7066666666666667
87,Low,-57.46690025533201,-0.5446773303916161
88,High,-59.10882688636798,-0.44000000000000017
88,Low,-96.70393698390001,-0.4733333333333332
