sub,difficulty,pupil_physical_effect,behavioral_physical_effect
13,Easy,-10.396733624968107,-0.07692307692307687
13,Hard,32.617922852397996,0.0011074197120708451
16,Easy,-257.97950090001206,-0.005898021308980206
16,Hard,-195.726915748421,-0.039450354609929045
17,Easy,17.29199936628001,-0.01333333333333342
17,Hard,-13.897909021153993,-0.09999999999999987
18,Easy,-9.47872282441159,-0.10666666666666658
18,Hard,-11.831214345236106,0.18000000000000016
19,Easy,11.836531867740007,0.18137931034482757
19,Hard,-127.35795659652098,-0.08730158730158738
21,Easy,-123.34996844805897,0.016255707762557026
21,Hard,-200.662703499968,-0.07999999999999999
23,Easy,-16.616397678059002,0.039999999999999925
23,Hard,-54.531892850689985,-0.12
24,Easy,73.47045271569701,-0.01333333333333342
24,Hard,-15.873938891304988,-0.07999999999999996
25,Easy,71.20380949248901,-0.09333333333333323
25,Hard,37.186176797165984,0.020000000000000018
26,Easy,-116.14956284109098,0.08223938223938232
26,Hard,-81.99282342170397,-0.037500000000000006
27,Easy,-25.996955850327026,-0.015855855855855916
27,Hard,-104.15099312369603,-0.07999999999999996
29,Easy,89.342316752697,-0.012432432432432416
29,Hard,118.70611128228302,-0.047755102040816344
31,Easy,42.47548254308799,-0.027952610144390988
31,Hard,30.004355592124,-0.05166666666666664
33,Easy,-105.67068771853997,0.040000000000000036
33,Hard,-12.32127802446496,0.027346938775510088
34,Easy,-69.87724804325,0.012612612612612595
34,Hard,-79.07990655789399,-2.7755575615628914e-17
35,Easy,-61.554783689933004,0.10158883004333186
35,Hard,-162.34675098028399,0.06904761904761905
36,Easy,-39.55969513843303,-0.053333333333333344
36,Hard,-28.15506525119997,-0.06
37,Easy,-100.95885303249096,0.040000000000000036
37,Hard,38.20156377210196,0.15999999999999992
42,Easy,1.4886748071959914,-0.026666666666666727
42,Hard,56.40530888881099,-0.09999999999999998
43,Easy,-85.44728117335399,-0.08000000000000007
43,Hard,11.919268089684977,0.14
44,Easy,43.093321992203016,0.026666666666666727
44,Hard,7.127100606960994,0.019999999999999962
46,Easy,-137.025334999503,-0.03428571428571425
46,Hard,-133.32780369356595,-0.08928571428571425
48,Easy,-50.7090634134,0
48,Hard,30.124709273414,-0.08000000000000002
54,Easy,-37.7919784599036,-0.013333333333333308
54,Hard,-44.1283065171218,-0.07999999999999996
56,Easy,-37.65702329536498,0.026666666666666727
56,Hard,5.2119112340940035,0.11999999999999988
58,Easy,69.27194909711795,-0.1066666666666668
58,Hard,-29.76084448305403,-0.14
61,Easy,20.69500361290099,-0.013285024154589431
61,Hard,14.719041727412005,-0.12765957446808507
64,Easy,-194.72039191766407,-0.026666666666666616
64,Hard,106.03451090900103,-0.057142857142857134
65,Easy,17.212491092941008,0.013333333333333308
65,Hard,-107.413936778037,-0.09999999999999998
68,Easy,-99.222478874909,-0.06666666666666676
68,Hard,-100.47901978117699,-0.02000000000000004
69,Easy,-129.00144553647897,-0.03714285714285703
69,Hard,-119.646391753957,-0.025265957446808512
72,Easy,-31.978783536440005,0.026666666666666616
72,Hard,-65.18770573443996,0.16000000000000014
74,Easy,-26.049550815082,-0.028108108108108154
74,Hard,-144.16927421701496,0.14
82,Easy,-43.607124577280985,0
82,Hard,-75.51911295019403,0.06000000000000004
85,Easy,-234.889889908084,-0.051872146118721596
85,Hard,-224.64320831351392,-0.06
87,Easy,1.6207869947530185,0.0142342342342342
87,Hard,42.540545883221,-0.14775510204081638
88,Easy,-109.02091886140602,0.06666666666666676
88,Hard,-71.42580876387399,0.09999999999999981
