sub,effort,pupil_cognitive_effect,behavioral_cognitive_effect
13,High,38.7930717312811,405.2430520834017
13,Low,-4.221584746085,546.619809649089
16,High,41.57741198807105,537.1265034310567
16,Low,-20.675173163520014,449.4466142773276
17,High,-9.569662608732017,98.97267896661708
17,Low,21.620245778701985,154.34398165425182
18,High,9.17915153802629,224.05201521749052
18,Low,11.531643058850804,-82.71322465432752
19,High,-143.575064503602,484.60649787231415
19,Low,-4.380576039341008,264.53066409087774
21,High,-47.00499036676601,156.9784577716921
21,Low,30.307744685143007,55.15579132715709
23,High,-37.45943610206001,194.60153453065215
23,Low,0.45605907057097284,250.90461826084044
24,High,-69.20991036930201,-35.97640067535241
24,Low,20.134481237699987,186.15702617481162
25,High,46.263084899520976,-44.56461177152744
25,Low,80.280717594844,38.884311109237956
26,High,-7.369787483995992,81.64790185023935
26,Low,-41.526526903383,195.6641717670102
27,High,-44.718642503165995,-163.57269166813546
27,Low,33.435394770203004,25.392901213631262
29,High,51.087964452422,59.37053137775456
29,Low,21.724169922835983,50.07780740518143
31,High,40.030481749172,80.31752835742338
31,Low,52.50160870013599,190.6964305661321
33,High,68.862397612969,74.34186640228478
33,Low,-24.487012081106002,96.32620322547677
34,High,16.03746349817999,278.0344737656909
34,Low,25.240122012823974,124.75024324835374
35,High,42.511071262428004,605.2024596854895
35,Low,143.303038552779,956.2470999931415
36,High,54.22019137644202,445.85622619603055
36,Low,42.81556148920896,102.97494133582154
37,High,104.03987552272898,181.5040856952582
37,Low,-35.12054128186395,21.693650664794646
42,High,25.258308204504004,326.9507442750702
42,Low,-29.658325877110997,182.79576321198516
43,High,49.99243366698198,553.2373537533294
43,Low,-47.37411559605698,186.44363185620472
44,High,23.87197940871698,-67.91415164379328
44,Low,59.838200793959004,406.0916417860062
46,High,74.67464911752802,216.4475590972587
46,Low,70.97711781159097,117.76335381364333
48,High,65.62798463250402,23.635320852109658
48,Low,-15.205788054309977,120.08362637409141
54,High,-14.387908185257189,24.84435782821822
54,Low,-8.051580128038992,50.211225072335935
56,High,43.652232970916,118.89724665563313
56,Low,0.7832984414570205,47.30672182192802
58,High,-25.976215192191944,191.7992008655135
58,Low,73.05657838798004,261.79070043608715
61,High,0.5396033493300081,-49.56505149896529
61,Low,6.515565234818993,282.26063264677686
64,High,75.07527623339001,80.11574571706603
64,Low,-225.6796265932751,660.6782529538729
65,High,-53.92235561300899,32.38459010566161
65,Low,70.70407225796902,95.32102644011178
68,High,-0.2528758263329962,277.0370412169899
68,Low,1.00366507993499,620.9905116556911
69,High,51.427489510538976,-66.16042887067647
69,Low,42.07243572801701,170.38266109850474
72,High,-24.427808800638985,162.89310813999822
72,Low,8.781113397360969,222.67410815055376
74,High,-125.391285863561,138.72288605992935
74,Low,-7.2715624616280365,53.26358585739058
82,High,14.717746386826974,325.69843613115756
82,Low,46.62973475974002,127.49222334435524
85,High,36.90349514668003,70.33509538886062
85,Low,26.656813552109952,77.24155382193004
87,High,-16.547141366864025,97.94471255135215
87,Low,-57.46690025533201,160.38414325478433
88,High,-59.10882688636798,288.24995406793664
88,Low,-96.70393698390001,167.5374869346822
