sub,difficulty,pupil_physical_effect,behavioral_physical_effect
13,Easy,-10.396733624968107,76.6222075658259
13,Hard,32.617922852397996,-64.75454999986141
16,Easy,-257.97950090001206,2.8130651559680473
16,Hard,-195.726915748421,90.4929543096971
17,Easy,17.29199936628001,12.767919027691221
17,Hard,-13.897909021153993,-42.60338365994352
18,Easy,-9.47872282441159,-131.4752032258483
18,Hard,-11.831214345236106,175.29003664596974
19,Easy,11.836531867740007,-80.22531378145464
19,Hard,-127.35795659652098,139.85051999998177
21,Easy,-123.34996844805897,108.91255563451216
21,Hard,-200.662703499968,210.73522207904716
23,Easy,-16.616397678059002,31.950471316396147
23,Hard,-54.531892850689985,-24.352612413792144
24,Easy,73.47045271569701,37.068227642302645
24,Hard,-15.873938891304988,-185.06519920786138
25,Easy,71.20380949248901,158.66781111496186
25,Hard,37.186176797165984,75.21888823419647
26,Easy,-116.14956284109098,-22.41322341911973
26,Hard,-81.99282342170397,-136.42949333589058
27,Easy,-25.996955850327026,61.475626213985606
27,Hard,-104.15099312369603,-127.48996666778112
29,Easy,89.342316752697,168.77015652404964
29,Hard,118.70611128228302,178.06288049662277
31,Easy,42.47548254308799,-15.310543779156092
31,Hard,30.004355592124,-125.68944598786481
33,Easy,-105.67068771853997,49.72208285669387
33,Hard,-12.32127802446496,27.737746033501878
34,Easy,-69.87724804325,-22.859921429335373
34,Hard,-79.07990655789399,130.4243090880018
35,Easy,-61.554783689933004,-72.34668967839127
35,Hard,-162.34675098028399,-423.3913299860433
36,Easy,-39.55969513843303,-9.498624863707505
36,Hard,-28.15506525119997,333.3826599965015
37,Easy,-100.95885303249096,-11.614269843226921
37,Hard,38.20156377210196,148.19616518723663
42,Easy,1.4886748071959914,40.61013923815659
42,Hard,56.40530888881099,184.7651203012416
43,Easy,-85.44728117335399,9.080953119471474
43,Hard,11.919268089684977,375.87467501659626
44,Easy,43.093321992203016,112.52357009508046
44,Hard,7.127100606960994,-361.48222333471904
46,Easy,-137.025334999503,62.31305028863551
46,Hard,-133.32780369356595,160.99725557225088
48,Easy,-50.7090634134,13.690405553562528
48,Hard,30.124709273414,-82.75789996841922
54,Easy,-37.7919784599036,-33.458697856943786
54,Hard,-44.1283065171218,-58.8255651010615
56,Easy,-37.65702329536498,-30.839576722750678
56,Hard,5.2119112340940035,40.750948110954425
58,Easy,69.27194909711795,-13.050424870803795
58,Hard,-29.76084448305403,-83.04192444137743
61,Easy,20.69500361290099,78.97404414540668
61,Hard,14.719041727412005,-252.85164000033546
64,Easy,-194.72039191766407,-13.683067041451181
64,Hard,106.03451090900103,-594.245574278258
65,Easy,17.212491092941008,11.032176740731845
65,Hard,-107.413936778037,-51.90425959371833
68,Easy,-99.222478874909,-169.56268788278317
68,Hard,-100.47901978117699,-513.5161583214843
69,Easy,-129.00144553647897,85.65098114549096
69,Hard,-119.646391753957,-150.89210882369025
72,Easy,-31.978783536440005,66.78347473882923
72,Hard,-65.18770573443996,7.002474728273683
74,Easy,-26.049550815082,-174.99676379026982
74,Hard,-144.16927421701496,-89.53746358773105
82,Easy,-43.607124577280985,-48.04681528670085
82,Hard,-75.51911295019403,150.15939750010148
85,Easy,-234.889889908084,249.43980893660876
85,Hard,-224.64320831351392,242.53335050353934
87,Easy,1.6207869947530185,-19.897808360361978
87,Hard,42.540545883221,-82.33723906379416
88,Easy,-109.02091886140602,34.06512262069782
88,Hard,-71.42580876387399,154.77758975395227
