task,outcome,model_type,term_clean,term,b,SE,CI_lower,CI_upper,z,t,df,p,sig,random_fx,singular_flag
CDT,Accuracy,GLMM,Intercept,(Intercept),0.1644,0.0882,-0.0085,0.3373,1.8631,NA,NA,0.0624,FALSE,iscorr ~ difficulty * effort + (1 | sub),FALSE
CDT,Accuracy,GLMM,Task Difficulty (Hard vs. Easy),difficultyHard,-0.571,0.078,-0.7239,-0.418,-7.3163,NA,NA,0,TRUE,iscorr ~ difficulty * effort + (1 | sub),FALSE
CDT,Accuracy,GLMM,Physical Effort (High vs. Low),effortHigh,0.163,0.0777,0.0107,0.3153,2.0972,NA,NA,0.036,TRUE,iscorr ~ difficulty * effort + (1 | sub),FALSE
CDT,Accuracy,GLMM,Task Difficulty × Physical Effort,difficultyHard:effortHigh,-0.1568,0.1105,-0.3734,0.0597,-1.4193,NA,NA,0.1558,FALSE,iscorr ~ difficulty * effort + (1 | sub),FALSE
CDT,Reaction_Time_log,LMM,Intercept,(Intercept),0.2443,0.057,0.1326,0.356,NA,4.2858,48.3683,1e-4,TRUE,log_rt ~ difficulty * effort + (1 | sub),FALSE
CDT,Reaction_Time_log,LMM,Task Difficulty (Hard vs. Easy),difficultyHard,0.0187,0.0314,-0.0428,0.0802,NA,0.597,5574,0.5506,FALSE,log_rt ~ difficulty * effort + (1 | sub),FALSE
CDT,Reaction_Time_log,LMM,Physical Effort (High vs. Low),effortHigh,0.0155,0.0314,-0.046,0.077,NA,0.4948,5574,0.6208,FALSE,log_rt ~ difficulty * effort + (1 | sub),FALSE
CDT,Reaction_Time_log,LMM,Task Difficulty × Physical Effort,difficultyHard:effortHigh,-0.0095,0.0444,-0.0965,0.0775,NA,-0.2145,5574,0.8302,FALSE,log_rt ~ difficulty * effort + (1 | sub),FALSE
CDT,Total_AUC,LMM,Intercept,(Intercept),-555.1822,58.6259,-670.0868,-440.2776,NA,-9.4699,38.0105,0,TRUE,Total_AUC ~ effort + (1 + effort | sub),FALSE
CDT,Total_AUC,LMM,Physical Effort (High vs. Low),effortHigh,226.7777,40.9167,146.5825,306.973,NA,5.5424,38.0317,0,TRUE,Total_AUC ~ effort + (1 + effort | sub),FALSE
ADT,Accuracy,GLMM,Intercept,(Intercept),-2.6784,0.2065,-3.0831,-2.2738,-12.9733,NA,NA,0,TRUE,iscorr ~ difficulty * effort + (1 | sub),FALSE
ADT,Accuracy,GLMM,Task Difficulty (Hard vs. Easy),difficultyHard,5.2598,0.132,5.0012,5.5185,39.8558,NA,NA,0,TRUE,iscorr ~ difficulty * effort + (1 | sub),FALSE
ADT,Accuracy,GLMM,Physical Effort (High vs. Low),effortHigh,-0.1081,0.1162,-0.3358,0.1196,-0.9306,NA,NA,0.3521,FALSE,iscorr ~ difficulty * effort + (1 | sub),FALSE
ADT,Accuracy,GLMM,Task Difficulty × Physical Effort,difficultyHard:effortHigh,-0.0247,0.1599,-0.338,0.2887,-0.1542,NA,NA,0.8774,FALSE,iscorr ~ difficulty * effort + (1 | sub),FALSE
ADT,Reaction_Time_log,LMM,Intercept,(Intercept),-1.2168,0.1507,-1.5121,-0.9214,NA,-8.0736,40.2406,0,TRUE,log_rt ~ difficulty * effort + (1 | sub),FALSE
ADT,Reaction_Time_log,LMM,Task Difficulty (Hard vs. Easy),difficultyHard,-0.2525,0.0414,-0.3336,-0.1715,NA,-6.1055,7758,0,TRUE,log_rt ~ difficulty * effort + (1 | sub),FALSE
