sub,mean_pupil_cognitive_effect,mean_behavioral_cognitive_effect
13,-11.253420251581517,-0.8754336734693877
16,-18.210570084687987,-0.6377238462952749
17,-6.999757460564524,-0.9633333333333334
18,-9.979613769037357,-0.9023607280750138
19,-4.688802296065035,-0.9595495495495496
21,-2.2447561490325114,-0.9189041095890411
23,-18.22623223803052,-0.8200000000000001
24,-17.09571857200651,-0.6706802721088436
25,-49.41878720031649,-0.9073107761527739
26,27.236902414438532,-0.7277777777777779
27,-15.23620180661402,-0.8418201875344733
29,94.12297759921,-0.7766666666666666
31,-19.84968119529148,-0.9361135758651287
33,35.94682411295702,-0.8733333333333333
34,-37.1692482044385,-0.6050684931506849
35,-12.591637112981005,-0.7766666666666666
36,-71.750481123301455,-0.9366666666666668
37,-39.9708953512515,-0.7075788288288287
42,11.1659855687275,-0.8800000000000001
43,-32.20224487626399,-0.9329490715205001
44,40.521924588564005,-0.3535197029570805
46,-71.5758111706285,-0.9052364864864866
48,15.548058270056487,-0.8470486111111111
54,-17.02870603990101,-0.9366666666666668
56,11.696806921911502,-0.43666666666666665
58,-43.59173576584851,-0.8388649706457925
61,-19.027538197378007,-0.79
64,-40.75092807448749,-0.8161261261261261
65,-31.825417613893023,-0.7756462585034013
68,22.86531622471101,-0.8899999999999999
69,18.15787583056303,-0.8270885028949546
71,-14.095419260209013,-0.76
72,-22.53626197596799,-0.5895495495495495
74,6.566262111397492,-0.7351126126126126
82,45.01662225397098,-0.8964864864864865
83,-41.184159836541966,-0.8200000000000001
85,-106.09072407210249,-0.9557290041804455
87,60.392149788448506,-0.9495918367346939
88,-17.472761973722015,-0.9033333333333333
