sub,mean_pupil_physical_effect,mean_behavioral_physical_effect
13,5.780781244009503,41.578308069065066
16,-147.364051903172,459.77351218186647
17,-30.25625010113299,8.390874437054663
18,-11.077932128754554,-473.37154584863106
19,-174.03467937763304,55.41007678604308
21,-14.583244888492004,239.09385407633556
23,-18.13556910259851,-79.1298078395152
24,-49.266559250103505,38.12681879709375
25,73.01125786224252,272.84994066379625
26,-76.93061950396554,-262.76582607070543
27,-98.76715099603501,30.825411594483683
29,38.86259305489,32.95320303385395
31,-64.45397899215149,-67.27059701565017
33,-58.829984370629006,-20.663670472893074
34,-82.99110694534252,-656.569871510394
35,-40.764021924861,-171.5024621884752
36,-108.81489670281394,99.99237913434365
37,-102.25679215723449,-339.8061451560458
42,-17.994509316846496,408.5471432573589
43,-16.85503852793198,279.8303373754375
44,-66.19343535736,-13.545919126492834
46,-122.12190718775051,517.0818482704788
48,-91.94256006934549,-350.22323159377635
54,0.5637557346960023,10.791125253122487
56,-29.55233229351049,-62.782853752137555
58,-66.62896415323951,-97.14808578856338
61,9.408422136353991,-82.4285587215735
64,-92.2950836106645,-105.34238348388155
65,49.808088238398994,-39.86593652467782
68,-46.596202111105,173.0148864724041
69,-0.6951238308380141,24.65557164259917
71,-32.128132424651994,-17.11690048899345
72,-47.18242106333901,-82.23203766177991
74,-43.276619984458506,-330.10860645298254
82,-55.39965849359601,452.25485241956443
83,-76.78752006012098,59.69495714216191
85,-195.89310406927245,-140.20470927533128
87,-55.382085147039476,-875.1467162731919
88,-201.939683862329,505.95635117725567
