sub,mean_pupil_cognitive_effect,mean_behavioral_cognitive_effect
13,17.28574349259805,-0.7913962006985263
16,10.451119412275517,-0.4462852990705658
17,6.025291584984984,-0.3566666666666667
18,10.355397298438547,-0.40333333333333343
19,-73.9778202714715,-0.750103995621237
21,-8.348622840811501,-0.7185388127853881
23,-18.50168851574452,-0.30000000000000004
24,-24.53771456580101,-0.2733333333333334
25,63.27190124718249,0.2566666666666667
26,-24.448157193689497,-0.6490588803088804
27,-5.6416238664814955,-0.7387387387387387
29,36.40606718762899,-0.5623386651958081
31,46.26604522465399,-0.6796498210539306
33,22.1876927659315,-0.26700680272108834
34,20.63879275550198,-0.7196396396396396
35,92.9070549076035,-0.8049802829172112
36,48.51787643282549,-0.7433333333333333
37,34.45966712043251,-0.5199999999999999
42,-2.200008836303496,-0.6166666666666666
43,1.3091590354624998,-0.7833333333333334
44,41.85509010133799,-0.77
46,72.8258834645595,-0.5667857142857143
48,25.211098289097023,-0.8
54,-11.21974415664809,-0.6066666666666667
56,22.217765706186512,-0.35333333333333333
58,23.540181597894048,-0.3766666666666666
61,3.5275842920745006,-0.829928564086751
64,-75.30217517994254,-0.7085714285714286
65,8.390858322480014,-0.5033333333333333
68,0.3753946268009969,-0.6966666666666668
69,46.749962619277994,-0.4612955927051672
72,-7.823347701639008,-0.19333333333333336
74,-66.33142416259452,-0.595945945945946
82,30.673740573283496,-0.83
85,31.78015434939499,-0.42926940639269395
87,-37.007020811098016,-0.6256719985291415
88,-77.906381935134,-0.45666666666666667
