sub,mean_pupil_physical_effect,mean_behavioral_physical_effect
13,11.110594613714945,5.933828782982246
16,-226.85320832421652,46.65300973283257
17,1.6970451725630085,-14.917732316126148
18,-10.654968584823848,21.907416710060716
19,-57.760712364390486,29.812603109263563
21,-162.0063359740135,159.82388885677966
23,-35.574145264374494,3.7989294513020013
24,28.79825691219601,-73.99848578277937
25,54.1949931448275,116.94334967457917
26,-99.07119313139748,-79.42135837750516
27,-65.07397448701153,-33.007170226897756
29,104.02421401749001,173.4165185103362
31,36.239919067605996,-70.49999488351045
33,-58.99598287150246,38.729914445097876
34,-74.478577300572,53.78219382933321
35,-111.9507673351085,-247.86900983221727
36,-33.8573801948165,161.942017566397
37,-31.3786446301945,68.29094767200485
42,28.946991848003492,112.6876297696991
43,-36.764006541834505,192.47781406803387
44,25.110211299582005,-124.47932661981929
46,-135.17656934653448,111.6551529304432
48,-10.292177069993002,-34.53374720742835
54,-40.9601424885127,-46.14213147900264
56,-16.222556030635488,4.955685694101874
58,19.755552307031962,-48.046174656090614
61,17.707022670156498,-86.93879792746439
64,-44.34294050433152,-303.9643206598546
65,-45.100722842547995,-20.43604142649324
68,-99.850749328043,-341.53942310213375
69,-124.32391864521799,-32.620563839099646
72,-48.58324463543998,36.892974733551455
74,-85.10941251604848,-132.26711368900044
82,-59.563118763737506,51.056291106700314
85,-229.76654911079896,245.98657972007405
87,22.08066643898701,-51.11752371207807
88,-90.22336381264,94.42135618732505
