task,outcome,model_type,term_clean,term,b,SE,CI_lower,CI_upper,z,t,df,p,sig,random_fx,singular_flag
CDT,Accuracy,GLMM,Intercept,(Intercept),1.482,0.1047,1.2767,1.6873,14.1499,NA,NA,0,TRUE,resp1_diff ~ difficulty * effort + (1 | sub),FALSE
CDT,Accuracy,GLMM,Task Difficulty (Hard vs. Easy),difficultyHard,-2.3555,0.0948,-2.5414,-2.1697,-24.8404,NA,NA,0,TRUE,resp1_diff ~ difficulty * effort + (1 | sub),FALSE
CDT,Accuracy,GLMM,Physical Effort (High vs. Low),effortHigh,-0.103,0.0982,-0.2954,0.0894,-1.0498,NA,NA,0.2938,FALSE,resp1_diff ~ difficulty * effort + (1 | sub),FALSE
CDT,Accuracy,GLMM,Task Difficulty × Physical Effort,difficultyHard:effortHigh,-0.1325,0.1321,-0.3914,0.1264,-1.0033,NA,NA,0.3157,FALSE,resp1_diff ~ difficulty * effort + (1 | sub),FALSE
CDT,Reaction_Time_log,LMM,Intercept,(Intercept),0.263,0.057,0.1513,0.3747,NA,4.6145,48.3683,0,TRUE,log_rt ~ difficulty * effort + (1 | sub),FALSE
CDT,Reaction_Time_log,LMM,Task Difficulty (Hard vs. Easy),difficultyHard,-0.0187,0.0314,-0.0802,0.0428,NA,-0.597,5574,0.5506,FALSE,log_rt ~ difficulty * effort + (1 | sub),FALSE
CDT,Reaction_Time_log,LMM,Physical Effort (High vs. Low),effortHigh,0.006,0.0314,-0.0555,0.0675,NA,0.1914,5574,0.8482,FALSE,log_rt ~ difficulty * effort + (1 | sub),FALSE
CDT,Reaction_Time_log,LMM,Task Difficulty × Physical Effort,difficultyHard:effortHigh,0.0095,0.0444,-0.0775,0.0965,NA,0.2145,5574,0.8302,FALSE,log_rt ~ difficulty * effort + (1 | sub),FALSE
CDT,Total_AUC,LMM,Intercept,(Intercept),-555.1822,58.6259,-670.0868,-440.2776,NA,-9.4699,38.0105,0,TRUE,Total_AUC ~ effort + (1 + effort | sub),FALSE
CDT,Total_AUC,LMM,Physical Effort (High vs. Low),effortHigh,226.7777,40.9167,146.5825,306.973,NA,5.5424,38.0317,0,TRUE,Total_AUC ~ effort + (1 + effort | sub),FALSE
ADT,Accuracy,GLMM,Intercept,(Intercept),2.5814,0.2065,2.1767,2.9861,12.5025,NA,NA,0,TRUE,iscorr ~ difficulty * effort + (1 | sub),FALSE
ADT,Accuracy,GLMM,Task Difficulty (Hard vs. Easy),difficultyHard,-5.2598,0.132,-5.5185,-5.0011,-39.8518,NA,NA,0,TRUE,iscorr ~ difficulty * effort + (1 | sub),FALSE
ADT,Accuracy,GLMM,Physical Effort (High vs. Low),effortHigh,-0.1328,0.1099,-0.3481,0.0826,-1.2082,NA,NA,0.227,FALSE,iscorr ~ difficulty * effort + (1 | sub),FALSE
