term,b,SE,z,p,t,df,CI_lower,CI_upper,task,outcome,model_type,model_set,formula,sig
(Intercept),-0.3998,0.0797,-5.0139,0,NA,NA,-0.5561,-0.2435,CDT,Accuracy,GLMM,A_GF_Behavioral,iscorr ~ difficulty * gf_scaled + (1 | sub),TRUE
difficultyHard,0.6409,0.0554,11.5621,0,NA,NA,0.5323,0.7496,CDT,Accuracy,GLMM,A_GF_Behavioral,iscorr ~ difficulty * gf_scaled + (1 | sub),TRUE
gf_scaled,0.0024,0.0393,0.0606,0.9516,NA,NA,-0.0747,0.0794,CDT,Accuracy,GLMM,A_GF_Behavioral,iscorr ~ difficulty * gf_scaled + (1 | sub),FALSE
difficultyHard:gf_scaled,0.081,0.0553,1.4635,0.1433,NA,NA,-0.0275,0.1894,CDT,Accuracy,GLMM,A_GF_Behavioral,iscorr ~ difficulty * gf_scaled + (1 | sub),FALSE
(Intercept),0.2659,0.0548,NA,0,4.8508,41.342,0.1585,0.3733,CDT,RT_log,LMM,A_GF_Behavioral,log_rt ~ difficulty * gf_scaled + (1 | sub),TRUE
difficultyHard,-0.0137,0.0222,NA,0.538,-0.6158,5559.0121,-0.0573,0.0299,CDT,RT_log,LMM,A_GF_Behavioral,log_rt ~ difficulty * gf_scaled + (1 | sub),FALSE
gf_scaled,0.0033,0.0157,NA,0.8327,0.2112,5559.0098,-0.0275,0.0342,CDT,RT_log,LMM,A_GF_Behavioral,log_rt ~ difficulty * gf_scaled + (1 | sub),FALSE
difficultyHard:gf_scaled,0.0043,0.0222,NA,0.8473,0.1926,5559.0206,-0.0393,0.0479,CDT,RT_log,LMM,A_GF_Behavioral,log_rt ~ difficulty * gf_scaled + (1 | sub),FALSE
(Intercept),-441.6922,54.3287,NA,0,-8.13,38.0051,-548.1745,-335.2098,CDT,Total_AUC,LMM,B_GF_Pupil,Total_AUC ~ gf_scaled + (1 + gf_scaled | sub),TRUE
gf_scaled,113.3989,20.4602,NA,0,5.5424,38.0317,73.2978,153.5001,CDT,Total_AUC,LMM,B_GF_Pupil,Total_AUC ~ gf_scaled + (1 + gf_scaled | sub),TRUE
(Intercept),1.4113,0.0933,15.1315,0,NA,NA,1.2285,1.5941,CDT,Accuracy,GLMM,A_cont_Behavioral,resp1_diff ~ difficulty * auc_rel_mvc_scaled + (1 | sub),TRUE
difficultyHard,-2.4015,0.0689,-34.8447,0,NA,NA,-2.5366,-2.2664,CDT,Accuracy,GLMM,A_cont_Behavioral,resp1_diff ~ difficulty * auc_rel_mvc_scaled + (1 | sub),TRUE
auc_rel_mvc_scaled,0.0049,0.0497,0.0986,0.9215,NA,NA,-0.0925,0.1023,CDT,Accuracy,GLMM,A_cont_Behavioral,resp1_diff ~ difficulty * auc_rel_mvc_scaled + (1 | sub),FALSE
difficultyHard:auc_rel_mvc_scaled,-0.1465,0.067,-2.1859,0.0288,NA,NA,-0.2779,-0.0151,CDT,Accuracy,GLMM,A_cont_Behavioral,resp1_diff ~ difficulty * auc_rel_mvc_scaled + (1 | sub),TRUE
(Intercept),0.2626,0.0562,NA,0,4.6759,40.2518,0.1525,0.3727,CDT,RT_log,LMM,A_cont_Behavioral,log_rt ~ difficulty * auc_rel_mvc_scaled + (1 | sub),TRUE
difficultyHard,-0.0148,0.0228,NA,0.5177,-0.647,5416.0111,-0.0594,0.0299,CDT,RT_log,LMM,A_cont_Behavioral,log_rt ~ difficulty * auc_rel_mvc_scaled + (1 | sub),FALSE
auc_rel_mvc_scaled,-7e-4,0.0162,NA,0.9634,-0.0459,5422.631,-0.0324,0.0309,CDT,RT_log,LMM,A_cont_Behavioral,log_rt ~ difficulty * auc_rel_mvc_scaled + (1 | sub),FALSE
difficultyHard:auc_rel_mvc_scaled,0.0102,0.0228,NA,0.6537,0.4487,5416.2334,-0.0345,0.0549,CDT,RT_log,LMM,A_cont_Behavioral,log_rt ~ difficulty * auc_rel_mvc_scaled + (1 | sub),FALSE
(Intercept),-429.1496,55.5291,NA,0,-7.7284,37.0204,-537.9847,-320.3144,CDT,Total_AUC,LMM,B_cont_Pupil,Total_AUC ~ auc_rel_mvc_scaled + (1 + auc_rel_mvc_scaled | sub),TRUE
