task,outcome,model_type,term_clean,b,SE,CI_lower,CI_upper,p,sesoi_used,sesoi_source,p_lower,p_upper,p_tost,equivalent
CDT,Accuracy,GLMM,Task Difficulty × Physical Effort,-0.1568,0.1105,-0.3734,0.0597,0.1558,0.6444808538308022,"Cohen's d = 0.79, Park et al. (2021), converted to b = d × SD(outcome)",2.0622685544034184e-13,5.087953879878704e-6,5.087953879878704e-6,TRUE
CDT,Reaction_Time_log,LMM,Physical Effort (High vs. Low),0.0155,0.0314,-0.046,0.077,0.6208,0.2218720545604606,"Cohen's d = 0.79, Park et al. (2021), converted to b = d × SD(outcome)",2.70151781953504e-11,2.353672812205332e-14,2.70151781953504e-11,TRUE
CDT,Reaction_Time_log,LMM,Task Difficulty × Physical Effort,-0.0095,0.0444,-0.0965,0.0775,0.8302,0.2218720545604606,"Cohen's d = 0.79, Park et al. (2021), converted to b = d × SD(outcome)",9.724994881840629e-8,8.850481036937197e-7,8.850481036937197e-7,TRUE
ADT,Accuracy,GLMM,Physical Effort (High vs. Low),-0.1081,0.1162,-0.3358,0.1196,0.3521,0.6444808538308022,"Cohen's d = 0.79, Park et al. (2021), converted to b = d × SD(outcome)",4.6906402664606386e-11,1.9559006557701153e-6,1.9559006557701153e-6,TRUE
ADT,Accuracy,GLMM,Task Difficulty × Physical Effort,-0.0247,0.1599,-0.338,0.2887,0.8774,0.6444808538308022,"Cohen's d = 0.79, Park et al. (2021), converted to b = d × SD(outcome)",1.425855871860802e-5,5.30823129318847e-5,5.30823129318847e-5,TRUE
ADT,Reaction_Time_log,LMM,Physical Effort (High vs. Low),-0.027,0.0414,-0.1081,0.054,0.5133,0.2218720545604606,"Cohen's d = 0.79, Park et al. (2021), converted to b = d × SD(outcome)",9.612328698869372e-10,1.2783988465603358e-6,1.2783988465603358e-6,TRUE
ADT,Reaction_Time_log,LMM,Task Difficulty × Physical Effort,0.0673,0.0585,-0.0474,0.1819,0.25,0.2218720545604606,"Cohen's d = 0.79, Park et al. (2021), converted to b = d × SD(outcome)",0.004126039402955582,3.924854368175801e-7,0.004126039402955582,TRUE
ADT,Total_AUC,LMM,Task Difficulty × Physical Effort,-6.9061,25.4449,-56.7771,42.965,0.7861,136.31422623387823,"Cohen's d = 0.79, Park et al. (2021), converted to b = d × SD(outcome)",9.398154510786052e-9,1.8730980677617026e-7,1.8730980677617026e-7,TRUE
ADT,Cognitive_AUC,LMM,Physical Effort (High vs. Low),-0.5924,3.3231,-7.1056,5.9209,0.8585,19.52459470470866,"Cohen's d = 0.79, Park et al. (2021), converted to b = d × SD(outcome)",7.407895414893773e-10,6.314167189103159e-9,6.314167189103159e-9,TRUE
ADT,Cognitive_AUC,LMM,Task Difficulty × Physical Effort,-4.5626,4.6993,-13.7732,4.6479,0.3316,19.52459470470866,"Cohen's d = 0.79, Park et al. (2021), converted to b = d × SD(outcome)",1.5179773055970743e-7,7.294546146471292e-4,7.294546146471292e-4,TRUE
VDT,Accuracy,GLMM,Physical Effort (High vs. Low),-0.1273,0.0904,-0.3045,0.0498,0.1588,0.6444808538308022,"Cohen's d = 0.79, Park et al. (2021), converted to b = d × SD(outcome)",6.8638540203127795e-18,5.294098937014269e-9,5.294098937014269e-9,TRUE
VDT,Accuracy,GLMM,Task Difficulty × Physical Effort,0.042,0.1847,-0.32,0.404,0.8201,0.6444808538308022,"Cohen's d = 0.79, Park et al. (2021), converted to b = d × SD(outcome)",5.532571451891477e-4,1.0090718048072489e-4,5.532571451891477e-4,TRUE
VDT,Reaction_Time_log,LMM,Task Difficulty × Physical Effort,-0.0523,0.0521,-0.1544,0.0498,0.3158,0.2218720545604606,"Cohen's d = 0.79, Park et al. (2021), converted to b = d × SD(outcome)",7.309252643353378e-8,5.700414799679754e-4,5.700414799679754e-4,TRUE
VDT,Total_AUC,LMM,Task Difficulty × Physical Effort,-20.3808,30.5376,-80.2334,39.4719,0.5088,136.31422623387823,"Cohen's d = 0.79, Park et al. (2021), converted to b = d × SD(outcome)",4.992484696783261e-6,2.710156671760222e-4,2.710156671760222e-4,TRUE
VDT,Cognitive_AUC,LMM,Physical Effort (High vs. Low),3.6723,3.3203,-2.8354,10.18,0.2688,19.52459470470866,"Cohen's d = 0.79, Park et al. (2021), converted to b = d × SD(outcome)",9.189104706119727e-7,1.5342171977295038e-12,9.189104706119727e-7,TRUE
VDT,Cognitive_AUC,LMM,Task Difficulty × Physical Effort,-7.2188,4.6943,-16.4195,1.982,0.1242,19.52459470470866,"Cohen's d = 0.79, Park et al. (2021), converted to b = d × SD(outcome)",6.333233650871352e-9,0.004387092179475527,0.004387092179475527,TRUE
