index,sub,mvc,ses,task,run,filepath,trial,stimLev,stimLev_i,isOddball,resp1_diff,isStrength,gf_trPer,iscorr,resp1,resp1RT,resp2,resp2RT,hit,miss,fa,cr,hit_1,hit_2,hit_3,hit_4,miss_1,miss_2,miss_3,miss_4,fa_1,fa_2,fa_3,fa_4,cr_1,cr_2,cr_3,cr_4,auc,auc_prop_targ,auc_rel_mvc,prop_valid_grip_samples,conf_median,resp2_bin_temp,resp2_bin_0,resp2_bin_1,resp2_bin_med
0,11,16426,1,cdt,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject11_CD_session1_run1_8_22_9.mat,1.0,5,1,1,,0,0.05,1,,3.010833099950105,2.0,0.5762505999300629,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857.3022922636103,1.0438357387843786,0.05219178693921894,1.0,4.0,0,70,0,0
1,11,16426,1,cdt,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject11_CD_session1_run1_8_22_9.mat,2.0,45,3,1,,0,0.05,1,,3.0107873999513686,2.0,0.011710899882018566,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405.44412607449857,0.4936614222263467,0.024683071111317338,0.6728395061728395,4.0,0,70,0,0
2,11,16426,1,cdt,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject11_CD_session1_run1_8_22_9.mat,3.0,20,2,1,,1,0.4,1,,3.010883399983868,1.0,0.01176570006646216,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.567335243553,0.018806668580840284,0.007522667432336113,0.0,4.0,0,70,0,0
3,11,16426,1,cdt,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject11_CD_session1_run1_8_22_9.mat,4.0,20,2,1,1.0,1,0.4,1,1.0,2.846226700115949,4.0,1.10553629999049,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3454.1461318051574,0.5257132186480514,0.2102852874592206,0.9691358024691358,4.0,2,70,0,1
4,11,16426,1,cdt,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject11_CD_session1_run1_8_22_9.mat,5.0,20,2,1,1.0,0,0.05,1,1.0,2.481636800104752,4.0,0.6115260999649763,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1071.189111747851,1.3042604550686119,0.0652130227534306,1.0,4.0,2,70,0,1
5,11,16426,1,cdt,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject11_CD_session1_run1_8_22_9.mat,6.0,0,0,0,1.0,0,0.05,0,1.0,2.469746599905193,4.0,1.1525999000295997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,845.3610315186246,1.0292962760484896,0.051464813802424486,1.0,4.0,2,70,0,1
6,11,16426,1,cdt,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject11_CD_session1_run1_8_22_9.mat,7.0,90,4,1,1.0,0,0.05,1,1.0,2.034707900136709,4.0,0.9408283000811934,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,812.9369627507164,0.9898173173635898,0.049490865868179496,1.0,4.0,2,70,0,1
7,11,16426,1,cdt,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject11_CD_session1_run1_8_22_9.mat,8.0,20,2,1,,0,0.05,1,,3.0107772001065314,1.0,0.011747000040486455,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810.6189111747851,0.9869948997623098,0.04934974498811549,1.0,4.0,0,70,0,0
8,11,16426,1,cdt,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject11_CD_session1_run1_8_22_9.mat,9.0,45,3,1,1.0,1,0.4,1,1.0,1.528872000053525,4.0,0.4821895998902619,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3637.558739255014,0.5536282021269655,0.2214512808507862,1.0,4.0,2,70,0,1
9,11,16426,1,cdt,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject11_CD_session1_run1_8_22_9.mat,10.0,0,0,0,0.0,1,0.4,1,2.0,2.4463101997971535,3.0,0.5173239000141621,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4256.515759312321,0.6478320588262999,0.25913282353052,1.0,4.0,0,70,0,0
