sub,mvc,ses,task,run,filepath,trial,trial_type,im_num,isStrength,gf_trPer,resp1,resp1RT,auc,auc_prop_targ,auc_rel_mvc,prop_valid_grip_samples,iscorr,resp1_diff,resp2,resp2RT,lure_bin,conf_median,resp2_bin_temp,resp2_bin_0,resp2_bin_1,resp2_bin_med,stimlev_mst
13,14905,1,MSTstudy,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject13_MST_session1_run1_9_15_11.mat,1.0,lure,178.0,0,0.05,indoor,1.4113225000037346,1270.1805157593124,1.70436835392058,0.085218417696029,1.0,,,,,3.0,,0,128,0,,3lure
13,14905,1,MSTstudy,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject13_MST_session1_run1_9_15_11.mat,2.0,lure,190.0,0,0.05,indoor,1.1054562000063015,1279.6189111747851,1.7170330911436231,0.08585165455718116,1.0,,,,,4.0,,0,128,0,,4lure
13,14905,1,MSTstudy,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject13_MST_session1_run1_9_15_11.mat,3.0,lure,160.0,1,0.4,indoor,0.5527186000108486,4829.0759312320915,0.8099758354968285,0.3239903341987314,1.0,,,,,3.0,,0,128,0,,3lure
13,14905,1,MSTstudy,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject13_MST_session1_run1_9_15_11.mat,4.0,lure,129.0,0,0.05,outdoor,0.3646539000037592,1052.0358166189112,1.4116549032122256,0.07058274516061129,1.0,,,,,4.0,,0,128,0,,4lure
13,14905,1,MSTstudy,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject13_MST_session1_run1_9_15_11.mat,5.0,lure,140.0,0,0.05,indoor,0.4587972000008449,998.7220630372493,1.3401168239345849,0.06700584119672924,1.0,,,,,2.0,,0,128,0,,2lure
13,14905,1,MSTstudy,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject13_MST_session1_run1_9_15_11.mat,6.0,lure,162.0,0,0.05,outdoor,0.3880856000032509,981.3151862464183,1.3167597265970055,0.06583798632985027,1.0,,,,,5.0,,0,128,0,,5lure
13,14905,1,MSTstudy,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject13_MST_session1_run1_9_15_11.mat,7.0,lure,150.0,1,0.4,outdoor,0.2825460000021849,4919.648997134671,0.8251675607404682,0.33006702429618723,1.0,,,,,2.0,,0,128,0,,2lure
13,14905,1,MSTstudy,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject13_MST_session1_run1_9_15_11.mat,8.0,targ,125.0,0,0.05,indoor,0.41173159999016207,1035.2578796561604,1.3891417372105475,0.06945708686052737,1.0,,,,,,,0,128,0,,0targ
13,14905,1,MSTstudy,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject13_MST_session1_run1_9_15_11.mat,9.0,lure,183.0,0,0.05,outdoor,1.16434040000604,981.7507163323783,1.3173441346291557,0.06586720673145778,1.0,,,,,4.0,,0,128,0,,4lure
13,14905,1,MSTstudy,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject13_MST_session1_run1_9_15_11.mat,10.0,lure,145.0,0,0.05,indoor,0.4705404999986058,927.6733524355301,1.2447814189004094,0.06223907094502047,1.0,,,,,2.0,,0,128,0,,2lure
13,14905,1,MSTstudy,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject13_MST_session1_run1_9_15_11.mat,11.0,lure,168.0,0,0.05,indoor,0.6233341000042856,893.7335243553009,1.1992398850792363,0.05996199425396182,1.0,,,,,2.0,,0,128,0,,2lure
13,14905,1,MSTstudy,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject13_MST_session1_run1_9_15_11.mat,12.0,targ,93.0,0,0.05,indoor,0.4360059999889927,987.9097421203438,1.3256085100574893,0.06628042550287445,1.0,,,,,,,0,128,0,,0targ
13,14905,1,MSTstudy,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject13_MST_session1_run1_9_15_11.mat,13.0,targ,65.0,0,0.05,indoor,0.4000781999930041,888.0601719197708,1.191627201502544,0.059581360075127196,1.0,,,,,,,0,128,0,,0targ
13,14905,1,MSTstudy,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject13_MST_session1_run1_9_15_11.mat,14.0,targ,109.0,1,0.4,outdoor,0.740932700005942,4797.381088825215,0.804659692858976,0.3218638771435904,0.9382716049382716,,,,,,,0,128,0,,0targ
13,14905,1,MSTstudy,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject13_MST_session1_run1_9_15_11.mat,15.0,targ,88.0,1,0.4,indoor,0.646926400004304,5134.002865329513,0.8611209099848227,0.3444483639939291,1.0,,,,,,,0,128,0,,0targ
13,14905,1,MSTstudy,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject13_MST_session1_run1_9_15_11.mat,16.0,lure,158.0,0,0.05,outdoor,0.6469156999955885,859.230659025788,1.152942850084922,0.05764714250424609,1.0,,,,,3.0,,0,128,0,,3lure
13,14905,1,MSTstudy,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject13_MST_session1_run1_9_15_11.mat,17.0,lure,142.0,0,0.05,indoor,0.5644800000009127,791.9383954154728,1.0626479643280413,0.05313239821640207,1.0,,,,,2.0,,0,128,0,,2lure
13,14905,1,MSTstudy,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject13_MST_session1_run1_9_15_11.mat,18.0,targ,66.0,1,0.4,indoor,0.6351295999920694,5705.396848137536,0.9569602227671143,0.38278408910684575,1.0,,,,,,,0,128,0,,0targ
13,14905,1,MSTstudy,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject13_MST_session1_run1_9_15_11.mat,19.0,targ,97.0,0,0.05,indoor,0.6586936999956379,943.8323782234957,1.2664641103300847,0.06332320551650424,1.0,,,,,,,0,128,0,,0targ
13,14905,1,MSTstudy,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject13_MST_session1_run1_9_15_11.mat,20.0,targ,128.0,1,0.4,outdoor,0.5410575999994762,5856.644699140401,0.9823288660081182,0.3929315464032473,1.0,,,,,,,0,128,0,,0targ
13,14905,1,MSTstudy,1,/content/G/Shareddrives/LC-Aging/Young Adult - Behavioral + Pupillometry Study/Data Collection/metacog YA/subject13_MST_session1_run1_9_15_11.mat,21.0,targ,68.0,1,0.4,outdoor,0.5056804000050761,4728.06446991404,0.7930332891502919,0.31721331566011673,1.0,,,,,,,0,128,0,,0targ
